rank,place,barrio,kind,area_m2,area_figure,asking_usd,asking_native,currency,estimate_usd,estimate_low_usd,estimate_high_usd,confidence,comps,segment,rank_score,listings,days_listed,source,url,department_market,city_market
87,Asunción,Las Lomas (Carmelitas),departamento,68,built,115600,115600,USD,153626.86,92375.83,215492.39,56,8,departamento|asuncion,2129504,1,73,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143020091-34,Asunción,
88,Asunción,Las Lomas,departamento,66,built,116093,116093,USD,153980.52,92588.49,215988.48,56,8,departamento|asuncion,2121701,2,,infocasas,https://www.infocasas.com.py/tu-primer-depa-en-la-mejor-zona/194012547,Asunción,
89,Asunción,Ycuá Satí,departamento,55,built,87000,87000,USD,124789.71,75036.05,175042.53,56,8,departamento|asuncion,2116224,2,,infocasas,https://www.infocasas.com.py/exclusivo-departamento-de-1-dormitorio-con-cochera-en-asuncion-paraguay-inversion-estrategica-con-alta-rentabilidad/193640770,Asunción,
90,"Capiatá, Central",,casa,230,built,55684.31,330000000,PYG,106059.93,63073.84,159121.71,42,2,casa|central,2115776,1,14,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/capiata/143098067-40,Central,Capiatá
91,Asunción,Trinidad,departamento,45,built,36000,36000,USD,73705.06,44318.86,103386.09,56,8,departamento|asuncion,2111484,1,,infocasas,https://www.infocasas.com.py/vendo-departamento-en-trinidad-/192775345,Asunción,
92,"Itauguá, Central",,casa,100,built,33748.07,200000000,PYG,83907.58,49899.84,125886.55,42,0,casa|central,2106700,1,1172,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/itaugua/143080002-122,Central,Itauguá
93,"San Lorenzo, Central",,casa,156,built,107993.82,640000000,PYG,158146.87,94049.95,237267.76,42,8,casa|central,2106428,1,423,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/san-lorenzo/143068120-33,Central,San Lorenzo
94,Asunción,Las Lomas (Carmelitas),departamento,68,built,119272,119272,USD,156756.22,94257.52,219881.95,56,8,departamento|asuncion,2099116,1,119,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143025241-40,Asunción,
95,Asunción,Las Lomas (Carmelitas),departamento,57,total,90000,90000,USD,127029.78,76383.01,178184.67,56,8,departamento|asuncion,2073668,1,944,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143063141-66,Asunción,
96,Asunción,,departamento,82,built,120000,120000,USD,157013.66,94412.32,220243.06,56,8,departamento|asuncion,2072765,2,,uprop,https://uprop.com.py/detail/departamento-de-2-dormitorios-amoblado-en-barrio-jara-2453198f-ae46-4ef1-b8b3-1364c85c24e2,Asunción,
97,Asunción,Mburucuyá,departamento,64,total,88000,88000,USD,124970.26,75144.62,175295.79,56,8,departamento|asuncion,2070335,1,504,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143025155-190,Asunción,
98,Asunción,La Recoleta,departamento,78,built,122155,122155,USD,159072.58,95650.34,223131.1,56,8,departamento|asuncion,2067384,1,,cb,https://coldwellbanker.com.py/propiedad/vendo-dept-2-dormitorios-ventura-hassler-zona-shopping-mariscal--295571,Asunción,
99,"San Lorenzo, Central",,casa,200,built,75933.16,450000000,PYG,124772.71,74202.33,187196.49,42,6,casa|central,2051261,1,1129,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/san-lorenzo/143080045-25,Central,San Lorenzo
100,Asunción,San Vicente,departamento,114,built,89000,89000,USD,125131.14,75241.35,175521.45,56,6,departamento|asuncion,2023344,1,,infocasas,https://www.infocasas.com.py/vendo-departamento-de-2-dormitorios-en-barrio-san-vicente/190918301,Asunción,
101,"Ñemby, Central",,casa,220,built,62433.93,370000000,PYG,110532.92,65733.93,165832.54,42,5,casa|central,2020158,2,,uprop,https://uprop.com.py/detail/casa-con-ubicacion-privilegiada-en-nemby-4de7d173-e606-4223-98ac-f208da66821f,Central,Ñemby
102,Asunción,Villa Morra,departamento,101,built,137442,137442,USD,173514.06,104334.01,243388.17,56,8,departamento|asuncion,2020035,1,,infocasas,https://www.infocasas.com.py/departamento-en-venta/193606771,Asunción,
103,Asunción,,departamento,48,built,38463.17,227942958,PYG,74388.34,44729.71,104344.53,56,8,departamento|asuncion,2011809,1,,uprop,https://uprop.com.py/detail/departamento-en-living-trinidad-7dc8c3c3-5d37-4adf-889e-e10303c66e03,Asunción,
104,Asunción,Las Lomas (Carmelitas),departamento,47,built,73900,73900,USD,109711.26,65969.38,153891.98,56,8,departamento|asuncion,2005430,1,916,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143010038-289,Asunción,
105,Asunción,Ycuá Satí,departamento,53,built,80189,80189,USD,115981.6,69739.74,162687.39,56,8,departamento|asuncion,2004386,1,,infocasas,https://www.infocasas.com.py/en-venta-departamento-de-1-dormitorio-en-ycua-sati-ideal-para-inversionistas/193612676,Asunción,
106,Asunción,Herrera,departamento,53.5,total,72724,72724,USD,108268.92,65102.1,151868.82,56,8,departamento|asuncion,1990516,1,859,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143036045-117,Asunción,
107,Asunción,Manorá,departamento,67.11,total,129260,129260,USD,164758.13,99069.07,231106.23,56,8,departamento|asuncion,1987895,2,44,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143038001-225,Asunción,
108,Asunción,Las Lomas,departamento,74,built,100800,100800,USD,136284.89,81948.1,191166.81,56,8,departamento|asuncion,1987154,1,,infocasas,https://www.infocasas.com.py/departamento-a-estrenar-financiado/193397186,Asunción,
109,Asunción,,departamento,62.75,built,61692.69,365607204,PYG,96865.37,58245.15,135873.05,56,8,departamento|asuncion,1969670,3,,uprop,https://uprop.com.py/detail/departamento-en-asuncion-en-el-edificio-santa-lucia-32ffb733-a0bb-40ff-b9fb-b876e2cde6e2,Asunción,
110,Asunción,Carmelitas,departamento,58,total,96628,96628,USD,131766.8,79231.38,184829.3,56,8,departamento|asuncion,1967773,1,904,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143010155-38,Asunción,
111,"Lambaré, Central",,casa,440,built,118118.24,700000000,PYG,164933.54,98085.97,247449.78,42,8,casa|central,1966242,2,,uprop,https://uprop.com.py/detail/casa-en-barrio-santa-lucia-lambare-2c00e589-1fd8-48f9-845e-93d5cd03098a,Central,Lambaré
112,Asunción,Los Laureles,departamento,55,total,85831,85831,USD,120864.86,72676.04,169537.14,56,8,departamento|asuncion,1961896,1,479,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143063159-24,Asunción,
113,Asunción,Santísima Trinidad,departamento,92,total,78000,78000,USD,112931.77,67905.88,158409.4,56,8,departamento|asuncion,1956179,1,57,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143098009-758,Asunción,
114,Asunción,Los Laureles,departamento,42,built,67000,67000,USD,101907.02,61276.69,142944.98,56,8,departamento|asuncion,1954793,1,,infocasas,https://www.infocasas.com.py/monoambiente-42-m2-con-cochera-los-laureles/194263729,Asunción,
115,Asunción,Santisima Trinidad,departamento,44,built,97200,97200,USD,132082.28,79421.08,185271.82,56,8,departamento|asuncion,1953408,1,,cb,https://coldwellbanker.com.py/propiedad/departamento-en-venta-2-dormitorios-barrio-ycua-sati-asuncion-edificio-livit--4442110,Asunción,
116,Asunción,Mcal. Estigarribia,departamento,45,built,63000,63000,USD,97870.93,58849.79,137283.55,56,8,departamento|asuncion,1952772,1,,infocasas,https://www.infocasas.com.py/departamento-en-villa-morra-edificio-san-andres-ii/193305070,Asunción,
117,Asunción,,departamento,41,built,70348,70348,USD,104629.36,62913.64,146763.61,56,8,departamento|asuncion,1919756,2,,uprop,https://uprop.com.py/detail/departamento-en-edificio-ayre-santa-teresa-3ee20c50-ae82-4890-8b03-82a1a0a76e27,Asunción,
118,"Capiatá, Central",,casa,480,built,124867.86,740000000,PYG,170020.66,101111.28,255081.99,42,4,casa|central,1896418,1,1150,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/capiata/143080045-24,Central,Capiatá
119,Asunción,San Vicente,departamento,114,built,92000,92000,USD,125858.74,75678.86,176542.06,56,8,departamento|asuncion,1896090,1,,infocasas,https://www.infocasas.com.py/departamento-a-la-venta-de-2-dormitorios-en-barrio-san-vicente/190942773,Asunción,
120,"Capiatá, Central",,casa,288,built,75933.16,450000000,PYG,120950.49,71929.25,181462.02,42,4,casa|central,1890728,1,1235,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/capiata/143080045-16,Central,Capiatá
121,Asunción,Las Lomas (Carmelitas),departamento,69.4,total,123532,123532,USD,157257.36,94558.85,220584.9,56,8,departamento|asuncion,1888620,1,303,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143056031-677,Asunción,
122,"Lambaré, Central",,casa,230,built,74245.75,440000000,PYG,119113.51,70836.8,178706,42,8,casa|central,1884446,2,160,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/lambare/143037035-168,Central,Lambaré
123,Asunción,Barrio Jara,departamento,75,built,133750,133750,USD,167367.96,100638.35,234767.03,56,8,departamento|asuncion,1882606,1,,infocasas,https://www.infocasas.com.py/departamento-en-venta-de-2-habitaciones-con-cochera-incluida-en-barrio-jara-/194282717,Asunción,
124,Asunción,Las Lomas,departamento,63,built,93000,93000,USD,126495.05,76061.47,177434.61,56,8,departamento|asuncion,1875723,1,,infocasas,https://www.infocasas.com.py/departamentos-en-venta-a-estrenar-zona-shopping-del-sol/193709935,Asunción,
125,Asunción,Mburucuyá,departamento,65,total,97000,97000,USD,130491.37,78464.46,183040.25,56,8,departamento|asuncion,1875517,1,789,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143036045-125,Asunción,
126,Asunción,Mburucuyá,departamento,67,total,93887,93887,USD,126990.34,76359.29,178129.35,56,8,departamento|asuncion,1853787,2,917,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143010155-32,Asunción,
127,Asunción,,departamento,90,built,57000,57000,USD,90011.32,54123.81,126258.88,56,8,departamento|asuncion,1848634,1,,uprop,https://uprop.com.py/detail/departamento-en-barrio-la-encarnacion-edificio-asuncion-id-44248-ea03158b-6484-4cb5-8875-20768f9e58cd,Asunción,
128,"Fernando de la Mora, Central",,casa,170,built,75933.16,450000000,PYG,119923.04,71318.23,179920.54,42,3,casa|central,1847575,2,,uprop,https://uprop.com.py/detail/casa-en-fernando-de-la-mora-zona-sur-7a3d02cc-3828-462d-8402-18cff4053fe2,Central,Fernando de la Mora
129,"Luque, Central",,casa,200,built,92807.19,550000000,PYG,136637.03,81258.04,204996.54,42,5,casa|central,1840853,1,395,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/luque/114001124-197,Central,Luque
130,Asunción,,departamento,64,built,42606.94,252500000,PYG,75470.03,45380.13,105861.81,56,8,departamento|asuncion,1840333,1,,uprop,https://uprop.com.py/detail/departamento-en-complejo-parque-elisa-villa-elisa-25a78699-9fcb-4847-9d61-5355fb44ff39,Asunción,
131,Asunción,Las Lomas,departamento,67,built,153000,153000,USD,185655.97,111634.94,260419.63,56,8,departamento|asuncion,1828734,1,,infocasas,https://www.infocasas.com.py/hermoso-departamento-en-home-del-sol-zona-shopping/193718401,Asunción,
132,Asunción,,departamento,69,built,95809,95809,USD,128421.41,77219.8,180136.72,56,8,departamento|asuncion,1826295,1,,uprop,https://uprop.com.py/detail/departamento-en-pozo-edificio-lumiere-mariscal-dfdbc372-0011-4747-bb30-41c34dc1458c,Asunción,
133,"San Lorenzo, Central",,casa,244,built,126555.26,750000000,PYG,170016.65,101108.9,255075.99,42,8,casa|central,1825379,1,203,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/san-lorenzo/143036112-33,Central,San Lorenzo
134,"Ypacaraí, Central",,casa,170,built,79307.96,470000000,PYG,122755.47,73002.68,184170.03,42,0,casa|central,1824795,1,,infocasas,https://www.infocasas.com.py/vendo-casa-en-ypacarai-/191868870,Central,Ypacaraí
135,Asunción,,departamento,48,built,74812,74812,USD,107312.88,64527.23,150527.78,56,8,departamento|asuncion,1820049,1,,uprop,https://uprop.com.py/detail/departamento-de-1-dormitorio-en-area-gauto-virgen-del-huerto-6e5c3698-e07d-48b6-b4e8-335268f74843,Asunción,
136,"Fernando de la Mora, Central",,casa,136,built,151866.31,900000000,PYG,195193.74,116081.72,292849.17,42,8,casa|central,1819752,1,601,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/fernando-de-la-mora/143036107-11,Central,Fernando de la Mora
137,"San Lorenzo, Central",,casa,486,built,155000,155000,USD,198158.1,117844.62,297296.6,42,5,casa|central,1812640,1,,uprop,https://uprop.com.py/detail/edificio-residencial-en-san-lorenzo-e467561b-ce6a-4b67-9dee-4ee6394f9815,Central,San Lorenzo
138,"Ñemby, Central",,casa,340,built,84370.17,500000000,PYG,127406,75768.35,191147.23,42,5,casa|central,1807505,3,,uprop,https://uprop.com.py/detail/casa-barrio-villa-anita-en-nemby-115f7981-4ebd-44ce-b7fc-6abb770bfa0d,Central,Ñemby
139,Asunción,Barrio Jara,departamento,52,built,88000,88000,USD,120164.03,72254.63,168554.09,56,8,departamento|asuncion,1801186,1,,infocasas,https://www.infocasas.com.py/depto-1-dormitorio-con-cochera-en-barrio-jara/194303345,Asunción,
140,Asunción,Carmelitas,departamento,52,total,93080,93080,USD,125046.95,75190.73,175403.35,56,8,departamento|asuncion,1790149,1,1340,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143063071-8,Asunción,
141,Asunción,Mburicaó,departamento,86,built,126555.26,750000000,PYG,158332.53,95205.35,222093.05,56,8,departamento|asuncion,1779527,1,,infocasas,https://www.infocasas.com.py/vendo-departamento-2-dorm-en-suite-asuncion/192210481,Asunción,
142,Asunción,,departamento,47.6,built,65078,65078,USD,96706.71,58149.75,135650.5,56,8,departamento|asuncion,1771208,1,,uprop,https://uprop.com.py/detail/departamentos-en-pozo-de-1-dormitorio-en-living-trinidad-35c82056-2482-4e3a-a075-c03e9362e05d,Asunción,
143,Asunción,,departamento,86.53,built,84370.17,500000000,PYG,115770.66,69612.9,162391.5,56,8,departamento|asuncion,1758427,1,,uprop,https://uprop.com.py/detail/departamento-en-asuncion-barrio-mburicao-a9dfd345-96d6-4d34-b2e4-aecbbb1648b0,Asunción,
144,Asunción,Las Carmelitas,departamento,117,built,185000,185000,USD,216246.7,130029.14,303329.25,56,8,departamento|asuncion,1749815,1,,infocasas,https://www.infocasas.com.py/en-venta-depto-a-estrenar-zona-carmelitas/191707115,Asunción,
145,"Lambaré, Central",,casa,210,built,124024.15,735000000,PYG,165527.29,98439.08,248340.59,42,8,casa|central,1743132,1,,uprop,https://uprop.com.py/detail/duplex-en-pozo-en-lambare-9fe6d60e-c15e-4d87-b44d-1efa2464f716,Central,Lambaré
146,Asunción,,departamento,75,built,102000,102000,USD,133122.73,80046.7,186731.26,56,8,departamento|asuncion,1742873,1,,uprop,https://uprop.com.py/detail/departamento-de-2-dormitorios-en-barrio-ycua-sati-a65422b9-f39b-4828-8eb3-81ea2e5c00e6,Asunción,
147,Asunción,Las Lomas (Carmelitas),departamento,191,built,230000,230000,USD,261028.02,156956.15,366144.01,56,8,departamento|asuncion,1737569,1,800,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143005023-173,Asunción,
148,"Luque, Central",,casa,250,built,126555.26,750000000,PYG,167909.54,99855.81,251914.69,42,4,casa|central,1736880,1,566,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/luque/143036071-47,Central,Luque
149,Asunción,Las Lomas (Carmelitas),departamento,81,built,137700,137700,USD,168691.04,101433.92,236622.92,56,8,departamento|asuncion,1735498,1,147,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143025241-19,Asunción,
150,Asunción,,departamento,74,built,56337.1,333868561,PYG,87217.64,52443.97,122340.19,56,8,departamento|asuncion,1729311,1,,uprop,https://uprop.com.py/detail/departamento-en-ciudad-nueva-asuncion-60b3cf31-dca6-4cb8-9bfe-4c202d2df035,Asunción,
151,Asunción,Barrio Jara,departamento,56,total,63000,63000,USD,93785.29,56393.09,131552.62,56,8,departamento|asuncion,1723976,2,148,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143072126-53,Asunción,
152,Asunción,San Roque,departamento,120,built,75000,75000,USD,105718.21,63568.36,148290.94,56,8,departamento|asuncion,1720220,1,24,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143063199-73,Asunción,
153,Asunción,Las Lomas,departamento,65,built,96000,96000,USD,126178.29,75871.01,176990.29,56,8,departamento|asuncion,1689984,1,,infocasas,https://www.infocasas.com.py/venta-departamento-renta-activa-un-dormitorio-con-cochera-zona-shopping-sol-/193515511,Asunción,
154,Asunción,Los Laureles,departamento,60,built,73900,73900,USD,104043.89,62561.59,145942.37,56,8,departamento|asuncion,1688058,1,191,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143063159-41,Asunción,
155,Asunción,,departamento,50,built,55684.31,330000000,PYG,85796.64,51589.52,120346.95,56,8,departamento|asuncion,1686290,3,,uprop,https://uprop.com.py/detail/departamento-en-asuncion-barrio-la-encarnacion-53b7110e-5db4-4cd0-b6fb-b848b6dddfc0,Asunción,
156,Asunción,,departamento,60,built,39000,39000,USD,69075.04,41534.82,96891.56,56,8,departamento|asuncion,1684202,1,,uprop,https://uprop.com.py/detail/departamento-en-edificio-juan-de-zalazar-619c0a75-ab47-4795-895d-613397864e78,Asunción,
157,Asunción,Villa Morra,departamento,97,built,150600,150600,USD,180617.89,108605.53,253352.71,56,8,departamento|asuncion,1681002,1,,infocasas,https://www.infocasas.com.py/departamentos-amplios-de-2-habitaciones-en-pozo-barrio-villa-morra/193814345,Asunción,
158,Asunción,Las Lomas (Carmelitas),departamento,80,built,118795,118795,USD,148644.83,89380.14,208504.11,56,8,departamento|asuncion,1671591,1,213,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143080161-32,Asunción,
159,Asunción,Sajonia,departamento,60,built,50000,50000,USD,79649.11,47893.01,111723.81,56,8,departamento|asuncion,1660350,1,,infocasas,https://www.infocasas.com.py/vendo-hermoso-depto-de-2-dormitorios-en-sajonia/193056306,Asunción,
160,"Lambaré, Central",,casa,367,built,160303.33,950000000,PYG,199799.61,118820.83,299759.35,42,8,casa|central,1658844,3,,uprop,https://uprop.com.py/detail/casa-en-lambare-9084d79a-af41-41fc-b54c-2b35577762d3,Central,Lambaré
161,Asunción,San Jorge,departamento,70,built,112000,112000,USD,141502.94,85085.72,198486.18,56,8,departamento|asuncion,1652165,1,,infocasas,https://www.infocasas.com.py/edificio-home-ycua-sati-departamento-2-habitaciones/193341863,Asunción,
162,Asunción,Mburucuyá,departamento,51,built,82800,82800,USD,112121.19,67418.47,157272.39,56,8,departamento|asuncion,1641987,1,,infocasas,https://www.infocasas.com.py/vendo-departamento-con-cochera-en-molas-design-a-estrenar-2026-oportunidad-de-inversion-barrio-mburukuja-asuncion/193977756,Asunción,
163,Asunción,Manorá,departamento,47,built,96841,96841,USD,126161.37,75860.83,176966.55,56,8,departamento|asuncion,1641940,1,,infocasas,https://www.infocasas.com.py/sun-palace-tower/190156218,Asunción,
164,Asunción,Mburicaó,departamento,101,built,109681.22,650000000,PYG,138985.57,83572.02,194955.05,56,8,departamento|asuncion,1641043,1,,infocasas,https://www.infocasas.com.py/vendo-departamento-en-barrio-mburicao-/192080528,Asunción,
165,"Fernando de la Mora, Central",,casa,460,built,143429.29,850000000,PYG,182428.16,108490.03,273696.97,42,4,casa|central,1637953,1,,infocasas,https://www.infocasas.com.py/vendo-casa-en-fernando-de-la-mora-z-norte-a-cuadras-de-mcal-estigarribia/190492389,Central,Fernando de la Mora
166,Asunción,Ycuá Satí,departamento,42,built,79687,79687,USD,108566.31,65280.92,152285.96,56,8,departamento|asuncion,1617241,1,,infocasas,https://www.infocasas.com.py/departamento-de-1-habitacion-en-venta-en-el-barrio-san-jorge/194095128,Asunción,
167,Asunción,Villa Morra,departamento,64.4,total,102087.91,605000000,PYG,130961.56,78747.19,183699.78,56,8,departamento|asuncion,1616925,1,108,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143098128-336,Asunción,
168,Asunción,La Recoleta,departamento,67,built,96291,96291,USD,125053.47,75194.65,175412.5,56,8,departamento|asuncion,1610698,1,,cb,https://coldwellbanker.com.py/propiedad/oportunidad-vendo-dept-2-dorm-alta-rentabilidad-10-edificio-nest--4329291,Asunción,
