basis,segment,kind,department,training_closes,exact_scored_closes,exact_median_ape,exact_mape,exact_band_80_low,exact_band_80_high,exact_per_m2_baseline_median_ape,exact_chance_beats_baseline,exact_confidence,exact_published,exact_why_not,barrio_scored_closes,barrio_median_ape,barrio_mape,barrio_band_80_low,barrio_band_80_high,barrio_per_m2_baseline_median_ape,barrio_chance_beats_baseline,barrio_confidence,barrio_published,barrio_why_not,city_scored_closes,city_median_ape,city_mape,city_band_80_low,city_band_80_high,city_per_m2_baseline_median_ape,city_chance_beats_baseline,city_confidence,city_published,city_why_not
sale,deposito|itapua,deposito,Itapúa,1,0,,,,,,,,0,"1 training closes, needs 30",0,,,,,,,,0,"1 training closes, needs 30",0,,,,,,,,0,"1 training closes, needs 30"
sale,duplex|alto parana,duplex,Alto Paraná,4,4,0.1405,0.1429,-0.0871,0.1851,0.3063,,,0,"4 training closes, needs 30",0,,,,,,,,0,"4 training closes, needs 30",4,0.1416,0.1402,-0.0239,0.2227,0.3063,,,0,"4 training closes, needs 30"
sale,duplex|asuncion,duplex,Asunción,13,11,0.2609,0.2608,-0.1037,0.6086,0.3577,0.8,,0,"13 training closes, needs 30",0,,,,,,,,0,"13 training closes, needs 30",11,0.2932,0.2703,-0.0735,0.9003,0.3577,0.698,,0,"13 training closes, needs 30"
sale,duplex|central,duplex,Central,78,64,0.2027,0.2312,-0.2571,0.5884,0.2014,0.464,,0,"does not beat the per-m2 baseline across the folds (median error 20.3% against 20.1%, chance of beating it 46%, needs 80%)",0,,,,,,,,0,"0 held-out closes across the three folds, needs 60",66,0.1886,0.2418,-0.2303,0.4536,0.2178,0.671,,0,"does not beat the per-m2 baseline across the folds (median error 18.9% against 21.8%, chance of beating it 67%, needs 80%)"
sale,duplex|itapua,duplex,Itapúa,9,8,0.1251,0.1282,-0.1028,0.3193,0.209,,,0,"9 training closes, needs 30",0,,,,,,,,0,"9 training closes, needs 30",8,0.1333,0.1413,-0.1121,0.2964,0.209,,,0,"9 training closes, needs 30"
sale,local|alto parana,local,Alto Paraná,2,2,0.2879,0.2879,0.3412,0.4778,0.4852,,,0,"2 training closes, needs 30",0,,,,,,,,0,"2 training closes, needs 30",2,0.2697,0.2697,0.3165,0.4292,0.4852,,,0,"2 training closes, needs 30"
sale,local|asuncion,local,Asunción,8,6,0.4149,0.4224,0.1187,1.5783,0.6457,,,0,"8 training closes, needs 30",0,,,,,,,,0,"8 training closes, needs 30",7,0.5577,0.653,-0.4968,1.2675,0.622,,,0,"8 training closes, needs 30"
sale,local|boqueron,local,Boquerón,2,2,0.2913,0.2913,0.3764,0.4484,0.6145,,,0,"2 training closes, needs 30",0,,,,,,,,0,"2 training closes, needs 30",2,0.3867,0.3867,0.4967,0.8112,0.6145,,,0,"2 training closes, needs 30"
sale,local|central,local,Central,9,7,0.1608,0.2855,-0.2912,0.5477,0.4246,,,0,"9 training closes, needs 30",0,,,,,,,,0,"9 training closes, needs 30",8,0.2205,0.4423,-0.2961,1.9808,0.4279,,,0,"9 training closes, needs 30"
sale,local|cordillera,local,Cordillera,2,1,0.0365,0.0365,0.0379,0.0379,0.3087,,,0,"2 training closes, needs 30",0,,,,,,,,0,"2 training closes, needs 30",1,0.2571,0.2571,0.346,0.346,0.3087,,,0,"2 training closes, needs 30"
sale,local|itapua,local,Itapúa,2,2,0.4902,0.4902,0.1458,2.7761,0.4282,,,0,"2 training closes, needs 30",0,,,,,,,,0,"2 training closes, needs 30",2,0.4902,0.4902,0.1458,2.7761,0.4282,,,0,"2 training closes, needs 30"
sale,local|misiones,local,Misiones,1,1,0.6714,0.6714,2.0432,2.0432,0.4055,,,0,"1 training closes, needs 30",0,,,,,,,,0,"1 training closes, needs 30",1,0.6714,0.6714,2.0432,2.0432,0.4055,,,0,"1 training closes, needs 30"
sale,oficina|alto parana,oficina,Alto Paraná,1,1,0.8979,0.8979,8.7986,8.7986,0.7549,,,0,"1 training closes, needs 30",0,,,,,,,,0,"1 training closes, needs 30",1,0.898,0.898,8.8063,8.8063,0.7549,,,0,"1 training closes, needs 30"
sale,oficina|asuncion,oficina,Asunción,9,6,0.2365,0.4569,-0.3184,5.487,0.5157,,,0,"9 training closes, needs 30",0,,,,,,,,0,"9 training closes, needs 30",8,0.6171,0.5649,-0.0623,10.7985,0.4691,,,0,"9 training closes, needs 30"
sale,quinta|central,quinta,Central,3,3,0.683,0.5553,-0.3965,1.7219,0.6182,,,0,"3 training closes, needs 30",0,,,,,,,,0,"3 training closes, needs 30",3,0.683,0.5553,-0.3965,1.7219,0.6182,,,0,"3 training closes, needs 30"
sale,quinta|cordillera,quinta,Cordillera,3,3,0.3447,1.3079,-0.6667,-0.2083,0.5722,,,0,"3 training closes, needs 30",0,,,,,,,,0,"3 training closes, needs 30",3,0.3447,1.3079,-0.6667,-0.2083,0.5722,,,0,"3 training closes, needs 30"
sale,quinta|itapua,quinta,Itapúa,1,1,0.0046,0.0046,-0.0046,-0.0046,0.1712,,,0,"1 training closes, needs 30",0,,,,,,,,0,"1 training closes, needs 30",1,0.0046,0.0046,-0.0046,-0.0046,0.1712,,,0,"1 training closes, needs 30"
sale,terreno|alto parana,terreno,Alto Paraná,144,106,0.3335,0.5774,-0.5826,1.3597,0.4447,0.976,0,1,,0,,,,,,,,0,"0 held-out closes across the three folds, needs 60",123,0.3455,0.6006,-0.5999,1.6048,0.4099,0.954,0,1,
sale,terreno|amambay,terreno,Amambay,1,1,0.7784,0.7784,3.5132,3.5132,0.5992,,,0,"1 training closes, needs 30",0,,,,,,,,0,"1 training closes, needs 30",1,0.7784,0.7784,3.5132,3.5132,0.5992,,,0,"1 training closes, needs 30"
sale,terreno|asuncion,terreno,Asunción,107,90,0.2595,0.332,-0.2571,1.0412,0.5339,1,17,1,,0,,,,,,,,0,"0 held-out closes across the three folds, needs 60",94,0.5113,0.5305,-0.3424,3.1345,0.5539,0.808,0,1,
sale,terreno|boqueron,terreno,Boquerón,44,30,0.3846,0.6454,-0.6288,1.0458,0.696,0.992,,0,"30 held-out closes across the three folds, needs 60",0,,,,,,,,0,"0 held-out closes across the three folds, needs 60",37,0.5411,0.973,-0.7425,0.598,0.682,0.895,,0,"37 held-out closes across the three folds, needs 60"
sale,terreno|caaguazu,terreno,Caaguazú,3,3,0.1542,0.2555,-0.0431,0.843,33.4549,,,0,"3 training closes, needs 30",0,,,,,,,,0,"3 training closes, needs 30",3,0.1542,0.2555,-0.0431,0.843,33.4549,,,0,"3 training closes, needs 30"
sale,terreno|caazapa,terreno,Caazapá,3,3,3.1989,2.5246,-0.7874,-0.4279,1.9807,,,0,"3 training closes, needs 30",0,,,,,,,,0,"3 training closes, needs 30",3,3.1989,2.539,-0.7874,-0.4423,1.9807,,,0,"3 training closes, needs 30"
sale,terreno|central,terreno,Central,351,277,0.2885,0.4898,-0.5358,0.8266,0.5266,1,19,1,,0,,,,,,,,0,"0 held-out closes across the three folds, needs 60",310,0.3536,0.5774,-0.5545,1.4338,0.5157,1,0,1,
sale,terreno|concepcion,terreno,Concepción,1,1,0.2832,0.2832,0.3952,0.3952,89.6235,,,0,"1 training closes, needs 30",0,,,,,,,,0,"1 training closes, needs 30",1,0.2832,0.2832,0.3952,0.3952,89.6235,,,0,"1 training closes, needs 30"
sale,terreno|cordillera,terreno,Cordillera,58,46,0.3539,0.7426,-0.5424,1.5382,0.725,0.962,,0,"46 held-out closes across the three folds, needs 60",0,,,,,,,,0,"0 held-out closes across the three folds, needs 60",52,0.4185,0.719,-0.5486,1.7695,0.7225,0.921,,0,"52 held-out closes across the three folds, needs 60"
sale,terreno|guaira,terreno,Guairá,2,2,0.6747,0.6747,-0.4388,-0.3586,101.8431,,,0,"2 training closes, needs 30",0,,,,,,,,0,"2 training closes, needs 30",2,0.6747,0.6747,-0.4388,-0.3586,101.8431,,,0,"2 training closes, needs 30"
sale,terreno|itapua,terreno,Itapúa,72,61,0.4356,0.7405,-0.6526,0.9307,0.4256,0.563,,0,"does not beat the per-m2 baseline across the folds (median error 43.6% against 42.6%, chance of beating it 56%, needs 80%)",0,,,,,,,,0,"0 held-out closes across the three folds, needs 60",67,0.4783,0.803,-0.6845,1.2851,0.4762,0.545,,0,"does not beat the per-m2 baseline across the folds (median error 47.8% against 47.6%, chance of beating it 55%, needs 80%)"
sale,terreno|misiones,terreno,Misiones,1,1,4.1383,4.1383,-0.8054,-0.8054,3.1155,,,0,"1 training closes, needs 30",0,,,,,,,,0,"1 training closes, needs 30",1,4.1383,4.1383,-0.8054,-0.8054,3.1155,,,0,"1 training closes, needs 30"
sale,terreno|paraguari,terreno,Paraguarí,2,2,1.8525,1.8525,-0.4441,2.0066,161.3207,,,0,"2 training closes, needs 30",0,,,,,,,,0,"2 training closes, needs 30",2,1.8525,1.8525,-0.4441,2.0066,161.3207,,,0,"2 training closes, needs 30"
sale,terreno|presidente hayes,terreno,Presidente Hayes,9,9,0.6778,1.1918,-0.7315,1.8851,0.7595,,,0,"9 training closes, needs 30",0,,,,,,,,0,"9 training closes, needs 30",9,0.6467,1.3945,-0.7893,1.8851,0.7595,,,0,"9 training closes, needs 30"
rent,casa|alto parana,casa,Alto Paraná,85,64,0.2897,0.3852,-0.3955,1.0714,0.4186,0.994,20,1,,0,,,,,,,,0,"0 held-out closes across the three folds, needs 60",76,0.2786,0.3899,-0.3977,1.0629,0.4112,1,19,1,
rent,casa|asuncion,casa,Asunción,109,72,0.196,0.2526,-0.2223,0.5885,0.3771,1,50,1,,0,,,,,,,,0,"0 held-out closes across the three folds, needs 60",89,0.2137,0.2986,-0.2973,0.8183,0.372,0.992,36,1,
rent,casa|boqueron,casa,Boquerón,33,22,0.2178,0.3231,-0.3957,0.7347,0.3629,0.947,,0,"22 held-out closes across the three folds, needs 60",0,,,,,,,,0,"0 held-out closes across the three folds, needs 60",31,0.2326,0.6801,-0.433,0.6634,0.4218,0.94,,0,"31 held-out closes across the three folds, needs 60"
rent,casa|caazapa,casa,Caazapá,1,1,0.242,0.242,-0.1948,-0.1948,0.3455,,,0,"1 training closes, needs 30",0,,,,,,,,0,"1 training closes, needs 30",1,0.242,0.242,-0.1948,-0.1948,0.3455,,,0,"1 training closes, needs 30"
rent,casa|central,casa,Central,225,172,0.1925,0.2553,-0.2476,0.5986,0.3029,1,49,1,,0,,,,,,,,0,"0 held-out closes across the three folds, needs 60",197,0.192,0.2451,-0.2552,0.6264,0.3055,1,52,1,
rent,casa|concepcion,casa,Concepción,1,1,0.1115,0.1115,-0.1003,-0.1003,0.4932,,,0,"1 training closes, needs 30",0,,,,,,,,0,"1 training closes, needs 30",1,0.1115,0.1115,-0.1003,-0.1003,0.4932,,,0,"1 training closes, needs 30"
rent,casa|cordillera,casa,Cordillera,13,11,0.3285,0.4422,-0.3648,1.9977,0.5997,0.868,,0,"13 training closes, needs 30",0,,,,,,,,0,"13 training closes, needs 30",12,0.2893,0.3613,-0.2504,1.8835,0.6219,0.999,,0,"13 training closes, needs 30"
rent,casa|guaira,casa,Guairá,2,2,0.6337,0.6337,-0.443,-0.311,0.8834,,,0,"2 training closes, needs 30",0,,,,,,,,0,"2 training closes, needs 30",2,0.6337,0.6337,-0.443,-0.311,0.8834,,,0,"2 training closes, needs 30"
rent,casa|itapua,casa,Itapúa,49,37,0.3685,0.5484,-0.5279,0.9239,0.4848,0.82,,0,"37 held-out closes across the three folds, needs 60",0,,,,,,,,0,"0 held-out closes across the three folds, needs 60",42,0.4016,0.5611,-0.4974,0.9912,0.4675,0.842,,0,"42 held-out closes across the three folds, needs 60"
rent,casa|paraguari,casa,Paraguarí,1,1,0.8634,0.8634,-0.4634,-0.4634,1.7964,,,0,"1 training closes, needs 30",0,,,,,,,,0,"1 training closes, needs 30",1,0.8634,0.8634,-0.4634,-0.4634,1.7964,,,0,"1 training closes, needs 30"
rent,casa|presidente hayes,casa,Presidente Hayes,1,1,0.2348,0.2348,0.3068,0.3068,0.3755,,,0,"1 training closes, needs 30",0,,,,,,,,0,"1 training closes, needs 30",1,0.2348,0.2348,0.3068,0.3068,0.3755,,,0,"1 training closes, needs 30"
rent,departamento|alto parana,departamento,Alto Paraná,41,19,0.383,0.3966,-0.4052,0.3654,0.4197,0.679,,0,"19 held-out closes across the three folds, needs 60",0,,,,,,,,0,"0 held-out closes across the three folds, needs 60",32,0.2675,0.3244,-0.3992,0.3992,0.4609,0.898,,0,"32 held-out closes across the three folds, needs 60"
rent,departamento|asuncion,departamento,Asunción,692,362,0.1652,0.2263,-0.2875,0.4214,0.2839,1,63,1,,5,0.1969,0.2246,-0.0293,0.4791,0.1572,,,0,"5 held-out closes across the three folds, needs 60",588,0.2424,0.3155,-0.3151,0.7005,0.3038,1,45,1,
rent,departamento|boqueron,departamento,Boquerón,1,0,,,,,,,,0,"1 training closes, needs 30",0,,,,,,,,0,"1 training closes, needs 30",0,,,,,,,,0,"1 training closes, needs 30"
rent,departamento|central,departamento,Central,329,226,0.2184,0.2484,-0.281,0.5092,0.3623,1,55,1,,0,,,,,,,,0,"0 held-out closes across the three folds, needs 60",284,0.2258,0.2876,-0.2923,0.7046,0.3604,1,47,1,
rent,departamento|itapua,departamento,Itapúa,80,65,0.2304,0.3631,-0.4569,0.4492,0.2924,0.936,48,1,,0,,,,,,,,0,"0 held-out closes across the three folds, needs 60",76,0.2613,0.3455,-0.4285,0.6305,0.3241,0.881,38,1,
rent,deposito|alto parana,deposito,Alto Paraná,12,6,0.3991,0.3686,-0.2942,1.2273,0.3001,,,0,"12 training closes, needs 30",0,,,,,,,,0,"12 training closes, needs 30",9,0.326,0.3123,-0.0782,1.423,0.3063,,,0,"12 training closes, needs 30"
rent,deposito|asuncion,deposito,Asunción,16,13,0.2764,0.2709,-0.267,1.0284,0.2762,0.559,,0,"16 training closes, needs 30",0,,,,,,,,0,"16 training closes, needs 30",14,0.1947,0.2614,-0.3083,0.8929,0.2726,0.777,,0,"16 training closes, needs 30"
rent,deposito|boqueron,deposito,Boquerón,1,1,0.2789,0.2789,-0.218,-0.218,0.1903,,,0,"1 training closes, needs 30",0,,,,,,,,0,"1 training closes, needs 30",1,0.2933,0.2933,-0.2268,-0.2268,0.1903,,,0,"1 training closes, needs 30"
rent,deposito|central,deposito,Central,50,38,0.4101,0.407,-0.3828,1.1399,0.3281,0.155,,0,"38 held-out closes across the three folds, needs 60",0,,,,,,,,0,"0 held-out closes across the three folds, needs 60",39,0.4016,0.41,-0.3747,1.1379,0.3256,0.076,,0,"39 held-out closes across the three folds, needs 60"
rent,deposito|concepcion,deposito,Concepción,1,1,0.128,0.128,-0.1135,-0.1135,0.2161,,,0,"1 training closes, needs 30",0,,,,,,,,0,"1 training closes, needs 30",1,0.128,0.128,-0.1135,-0.1135,0.2161,,,0,"1 training closes, needs 30"
rent,deposito|itapua,deposito,Itapúa,6,4,0.273,0.2678,-0.3327,0.0543,0.2094,,,0,"6 training closes, needs 30",0,,,,,,,,0,"6 training closes, needs 30",6,0.3582,0.3142,-0.3334,0.4882,0.1574,,,0,"6 training closes, needs 30"
rent,deposito|misiones,deposito,Misiones,1,1,0.2339,0.2339,0.3053,0.3053,0.0456,,,0,"1 training closes, needs 30",0,,,,,,,,0,"1 training closes, needs 30",1,0.2339,0.2339,0.3053,0.3053,0.0456,,,0,"1 training closes, needs 30"
rent,duplex|alto parana,duplex,Alto Paraná,10,10,0.3079,0.4295,-0.4814,0.8716,1.3561,0.989,,0,"10 training closes, needs 30",0,,,,,,,,0,"10 training closes, needs 30",10,0.4234,0.461,-0.4814,0.8771,1.3561,0.994,,0,"10 training closes, needs 30"
rent,duplex|asuncion,duplex,Asunción,40,27,0.2414,0.2916,-0.2505,0.5285,0.3886,0.978,,0,"27 held-out closes across the three folds, needs 60",0,,,,,,,,0,"0 held-out closes across the three folds, needs 60",30,0.2495,0.2708,-0.2544,0.7414,0.3894,0.994,,0,"30 held-out closes across the three folds, needs 60"
