observed,place,area,kind,built_m2,asking_old,asking_new,currency,asking_new_usd,pct,days_listed,source,brokers,url,lat,lon,tekoha_estimate_usd,tekoha_estimate_low_usd,tekoha_estimate_high_usd,tekoha_estimate_confidence,tekoha_estimate_location,trust_band,trust_score
2026-09-25,"Itauguá, Central",,terreno,,400000000,350000000,PYG,59577,-12.5,12,infocasas,1,https://www.infocasas.com.py/se-vende-exclusivo-terreno-oportunidad-unica-para-construir-la-casa-de-sus-sue%C3%B1os/194252168,-25.358,-57.38497,39660,18565,73125,19,exact,alta,75
2026-09-25,Asunción,San Roque,terreno,311,1200000000,1050000000,PYG,178731,-12.5,90,remax,1,https://www.remax.com.py/es-py/propiedades/terreno/venta/asuncion/143098109-136,-25.28506,-57.62366,302532,223057,619676,16,exact,alta,85
2026-09-23,"Villa Hayes, Presidente Hayes",,casa,81,170000000,150000000,PYG,25533,-11.8,66,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/villa-hayes/143025261-3,-25.08632,-57.54143,,,,,,alta,75
2026-09-23,"Isla Pucú, Cordillera",,terreno,,260000000,230000000,PYG,39151,-11.5,253,remax,1,https://www.remax.com.py/es-py/propiedades/terreno/venta/isla-pucu/143094012-70,-25.30892,-56.89678,,,,,,alta,85
2026-09-23,"Hernandarias, Alto Paraná",,terreno,150,450000000,400000000,PYG,68088,-11.1,95,remax,1,https://www.remax.com.py/es-py/propiedades/terreno/venta/hernandarias/143099004-67,-25.40806,-54.627,46545,21294,110302,0,exact,alta,85
2026-09-23,"Ciudad del Este, Alto Paraná",,terreno,,450000000,400000000,PYG,68088,-11.1,100,remax,1,https://www.remax.com.py/es-py/propiedades/terreno/venta/ciudad-del-este/143050033-225,-25.47066,-54.67212,37199,17019,88155,0,exact,alta,85
2026-09-20,"Cambyretá, Itapúa",,casa,69,450000000,400000000,PYG,68088,-11.1,235,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/cambyreta/143011111-2,-27.34193,-55.82437,,,,,,alta,85
2026-09-23,"Limpio, Central",,casa,50,325000000,290000000,PYG,49364,-10.8,40,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/limpio/143025265-2,-25.19801,-57.46438,28311,17077,46482,42,exact,alta,75
2026-09-23,"Luque, Central",,terreno,,280000000,250000000,PYG,42555,-10.7,22,remax,1,https://www.remax.com.py/es-py/propiedades/terreno/venta/luque/143048015-47,-25.26546,-57.46157,39011,18261,71929,19,exact,alta,85
2026-09-23,Asunción,Herrera,casa,300,285000,255000,USD,255000,-10.5,81,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/asuncion/143096064-1,-25.30138,-57.56103,253431,173448,407568,50,exact,alta,85
2026-09-21,"Ciudad del Este, Alto Paraná",,deposito,510,335000,300000,USD,300000,-10.4,45,remax,1,https://www.remax.com.py/es-py/propiedades/deposito/venta/ciudad-del-este/143094028-59,-25.50266,-54.66358,,,,,,alta,75
2026-09-24,"Villa Elisa, Central",,casa,50,500000000,450000000,PYG,76599,-10,200,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/villa-elisa/143080161-24,-25.3664,-57.58226,52945,31936,86925,42,exact,alta,85
2026-09-23,"Hernandarias, Alto Paraná",,terreno,,500000000,450000000,PYG,76599,-10,129,remax,1,https://www.remax.com.py/es-py/propiedades/terreno/venta/hernandarias/143099032-7,-25.42093,-54.65025,41291,18891,97851,0,exact,alta,85
2026-09-23,Asunción,Barrio Jara,casa,318,1500000000,1350000000,PYG,229797,-10,37,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/asuncion/143091036-85,-25.2748,-57.60117,212900,145709,342386,50,exact,alta,85
2026-09-23,"Limpio, Central",,casa,48,220000000,199000000,PYG,33874,-9.5,23,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/limpio/143025254-1,,,33257,19665,56753,39,shared_point,media,65
2026-09-23,"Itauguá, Central",,casa,110,330000000,300000000,PYG,51066,-9.1,50,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/itaugua/143080233-5,,,44344,26221,75674,39,shared_point,media,65
2026-09-25,"Altos, Cordillera",,terreno,,60000000,55000000,PYG,9362,-8.3,102,remax,1,https://www.remax.com.py/es-py/propiedades/terreno/venta/altos/143098109-41,-25.274,-57.25207,,,,,,alta,85
2026-09-22,"Luque, Central",,terreno,,125000000,115000000,PYG,19575,-8,66,remax,1,https://www.remax.com.py/es-py/propiedades/terreno/venta/luque/143109010-3,-25.26221,-57.43586,50495,22985,123055,0,shared_point,alta,85
2026-09-25,"Luque, Central",,casa,140,195000,180000,USD,180000,-7.7,152,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/luque/143063190-399,-25.24347,-57.50066,113922,68718,187037,42,exact,alta,90
2026-09-24,"Fernando de la Mora, Central",,casa,125,650000000,600000000,PYG,102132,-7.7,120,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/fernando-de-la-mora/143080161-41,-25.34997,-57.57167,101726,61361,167013,42,exact,alta,70
2026-09-22,Asunción,La Encarnación,edificio,542,130000,120000,USD,120000,-7.7,117,remax,1,https://www.remax.com.py/es-py/propiedades/edificio/venta/asuncion/143063196-118,-25.28242,-57.63885,,,,,,sin datos,
2026-09-23,"Capiatá, Central",,terreno,,135000000,125000000,PYG,21278,-7.4,151,remax,1,https://www.remax.com.py/es-py/propiedades/terreno/venta/capiata/143020131-6,-25.37654,-57.42513,29789,13944,54925,19,exact,alta,85
