rank,place,barrio,kind,area_m2,area_figure,bedrooms,bathrooms,asking_usd,asking_native,currency,score,part_cuts,part_staleness,part_ask,part_relist,days_listed,share_of_recent_closes_that_took_fewer_days,recent_closes_median_days,cuts_seen,cut_depth,ask_usd_m2,segment_median_terminal_ask_usd_m2,ask_m2_share_below,relisted_below_earlier_ask,listings,source,url,department_market,city_market
40,Asunción,Ycuá Satí,departamento,100,total,2,2,110273.6,650000000,PYG,0.485,0.6071,0.9947,0,0,1479,0.9947,62.5,1,0.0714,1102.74,1671.33,0.1337,0,1,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143038002-155,Asunción,
41,Asunción,Ycuá Satí,departamento,67.45,total,1,1,90000,90000,USD,0.484,0.6582,0.9184,0,0,395,0.9184,62.5,1,0.0816,1334.32,1671.33,0.2267,0,1,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143061015-128,Asunción,
42,"Encarnación, Itapúa",,terreno,489,land,,,121000,121000,USD,0.474,0,1,1,0,2479,1,281,0,0,247.44,80.44,0.9778,0,2,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/encarnacion/143011036-28,Itapúa,Encarnación
43,"Encarnación, Itapúa",,terreno,519,land,,,200000,200000,USD,0.474,0,1,1,0,3077,1,281,0,0,385.36,80.44,0.9778,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/encarnacion/143011003-131,Itapúa,Encarnación
44,"Luque, Central",,casa,94.5,built,2,2,88000,88000,USD,0.474,0,1,1,0,1647,1,141.5,0,0,931.22,542.23,0.9126,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/luque/143098126-287,Central,Luque
45,"Mariano Roque Alonso, Central",,duplex,150,built,3,3,185000,185000,USD,0.474,0,1,1,0,1436,1,150,0,0,1233.33,723.5,0.9615,0,1,remax,https://www.remax.com.py/es-py/propiedades/duplex/venta/mariano-roque-alonso/143046003-168,Central,Mariano Roque Alonso
46,"San Juan del Paraná, Itapúa",,casa,225,built,3,3,290000,290000,USD,0.474,0,1,1,0,2268,1,178,0,0,1288.89,537.5,0.9565,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/san-juan-del-parana/143011036-37,Itapúa,San Juan del Paraná
47,"Encarnación, Itapúa",,terreno,433,land,,,186616.86,1100000000,PYG,0.474,0,1,1,0,2906,1,281,0,0,430.99,80.44,0.9778,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/encarnacion/143011024-54,Itapúa,Encarnación
48,"Encarnación, Itapúa",,casa,220,built,3,3,290000,290000,USD,0.474,0,1,1,0,1775,1,178,0,0,1318.18,537.5,0.9565,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/encarnacion/143085001-224,Itapúa,Encarnación
49,"Encarnación, Itapúa",,casa,170,built,4,2,210000,210000,USD,0.474,0,1,1,0,1730,1,178,0,0,1235.29,537.5,0.913,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/encarnacion/143085001-226,Itapúa,Encarnación
50,"Luque, Central",,casa,83.17,built,2,2,83000,83000,USD,0.474,0,1,1,0,1647,1,141.5,0,0,997.96,542.23,0.929,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/luque/143098126-288,Central,Luque
51,"San Bernardino, Cordillera",,terreno,455.53,land,,,30198,178000000,PYG,0.474,0,1,1,0,1333,1,146,0,0,66.29,23.03,0.9565,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/san-bernardino/143038046-40,Cordillera,San Bernardino
52,"Altos, Cordillera",,terreno,720,land,,,50895.51,300000000,PYG,0.474,0,1,1,0,1436,1,146,0,0,70.69,23.03,0.9565,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/altos/143063116-6,Cordillera,Altos
53,"San Bernardino, Cordillera",,terreno,1260,land,,,80000,80000,USD,0.474,0,1,1,0,1526,1,146,0,0,63.49,23.03,0.913,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/san-bernardino/143063136-135,Cordillera,San Bernardino
54,"Luque, Central",,duplex,111,built,3,3,137417.87,810000000,PYG,0.474,0,1,1,0,940,1,150,0,0,1238,723.5,0.9615,0,1,remax,https://www.remax.com.py/es-py/propiedades/duplex/venta/luque/143063147-36,Central,Luque
55,"Luque, Central",,duplex,160.7,built,3,3,167955.17,990000000,PYG,0.474,0,1,1,0,930,1,150,0,0,1045.15,723.5,0.9038,0,1,remax,https://www.remax.com.py/es-py/propiedades/duplex/venta/luque/143028009-100,Central,Luque
56,"San Bernardino, Cordillera",,terreno,2244,land,,,137051.42,807840000,PYG,0.474,0,1,1,0,1814,1,146,0,0,61.07,23.03,0.913,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/san-bernardino/143098009-351,Cordillera,San Bernardino
57,"Luque, Central",,casa,65,built,2,1,50725.85,299000000,PYG,0.473,0.5781,0.3281,0.8265,0,100,0.3281,141.5,1,0.0656,780.4,542.23,0.8306,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/luque/114006001-289,Central,Luque
58,"Areguá, Central",,terreno,363,land,,,15268.65,90000000,PYG,0.473,0.75,0.7483,0,0,213,0.7483,119.5,1,0.1429,42.06,92.66,0.1867,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/aregua/143061056-143,Central,Areguá
59,"Encarnación, Itapúa",,casa,290,built,3,3,235000,235000,USD,0.473,0.55,0.4615,0.7065,0,169,0.4615,178,1,0.06,810.34,537.5,0.7826,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/encarnacion/143011109-11,Itapúa,Encarnación
60,"Fernando de la Mora, Central",,terreno,436,land,3,4,195000,195000,USD,0.473,0,0.9967,1,0,1101,0.9967,119.5,0,0,447.25,92.66,0.9933,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/fernando-de-la-mora/143063068-70,Central,Fernando de la Mora
61,"Luque, Central",,terreno,511,land,,,164000,164000,USD,0.473,0,0.9967,1,0,1080,0.9967,119.5,0,0,320.94,92.66,0.9467,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/luque/143063190-392,Central,Luque
62,"Luque, Central",,terreno,568,land,,,204480,204480,USD,0.473,0,0.9967,1,0,976,0.9967,119.5,0,0,360,92.66,0.9533,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/luque/143063071-23,Central,Luque
63,"Lambaré, Central",,casa,140,built,3,3,151838.26,895000000,PYG,0.472,0,0.9948,1,0,919,0.9948,141.5,0,0,1084.56,542.23,0.9617,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/lambare/143100058-2,Central,Lambaré
64,"Luque, Central",,casa,224,built,4,4,271442.7,1600000000,PYG,0.472,0,0.9948,1,0,909,0.9948,141.5,0,0,1211.8,542.23,0.9891,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/luque/143063002-210,Central,Luque
65,"Luque, Central",,casa,170,built,3,3,208671.58,1230000000,PYG,0.472,0,0.9948,1,0,963,0.9948,141.5,0,0,1227.48,542.23,0.9891,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/luque/143010117-54,Central,Luque
66,"Luque, Central",,casa,137,built,3,3,197644.22,1165000000,PYG,0.472,0,0.9948,1,0,909,0.9948,141.5,0,0,1442.66,542.23,1,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/luque/143063002-208,Central,Luque
67,"Ñemby, Central",,casa,371,built,4,5,360000,360000,USD,0.472,0,0.9948,1,0,918,0.9948,141.5,0,0,970.35,542.23,0.9235,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/nemby/143063109-60,Central,Ñemby
68,"Luque, Central",,casa,156,built,3,3,271442.7,1600000000,PYG,0.472,0,0.9948,1,0,909,0.9948,141.5,0,0,1740.02,542.23,1,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/luque/143063002-209,Central,Luque
69,"Fernando de la Mora, Central",,casa,150,built,3,3,145000,145000,USD,0.472,0,0.9948,1,0,869,0.9948,141.5,0,0,966.67,542.23,0.9235,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/fernando-de-la-mora/143005083-11,Central,Fernando de la Mora
70,"Lambaré, Central",,casa,86.1,built,3,2,89915.39,530000000,PYG,0.472,0,0.9948,1,0,1008,0.9948,141.5,0,0,1044.31,542.23,0.9454,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/lambare/143010040-232,Central,Lambaré
71,"Luque, Central",,casa,204,built,2,4,199000,199000,USD,0.472,0,0.9948,1,0,1131,0.9948,141.5,0,0,975.49,542.23,0.9235,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/luque/143054048-58,Central,Luque
