rank,place,barrio,kind,area_m2,area_figure,bedrooms,bathrooms,asking_usd,asking_native,currency,score,part_cuts,part_staleness,part_ask,part_relist,days_listed,share_of_recent_closes_that_took_fewer_days,recent_closes_median_days,cuts_seen,cut_depth,ask_usd_m2,segment_median_terminal_ask_usd_m2,ask_m2_share_below,relisted_below_earlier_ask,listings,source,url,department_market,city_market
109,"Encarnación, Itapúa",,terreno,430,land,,1,360000,360000,USD,0.466,0,0.9701,1,0,1956,0.9701,281,0,0,837.21,80.44,1,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/encarnacion/143011036-51,Itapúa,Encarnación
110,"Encarnación, Itapúa",,terreno,650,land,,,145000,145000,USD,0.466,0,0.9701,1,0,2029,0.9701,281,0,0,223.08,80.44,0.9778,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/encarnacion/143011030-87,Itapúa,Encarnación
111,"Encarnación, Itapúa",,terreno,1300,land,,,290000,290000,USD,0.466,0,0.9701,1,0,2036,0.9701,281,0,0,223.08,80.44,0.9778,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/encarnacion/143011030-86,Itapúa,Encarnación
112,"Encarnación, Itapúa",,terreno,844,land,,,183223.82,1080000000,PYG,0.466,0,0.9701,1,0,1688,0.9701,281,0,0,217.09,80.44,0.9778,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/encarnacion/143011043-93,Itapúa,Encarnación
113,"Luque, Central",,duplex,142,built,3,2,144203.93,850000000,PYG,0.466,0,0.9697,1,0,784,0.9697,150,0,0,1015.52,723.5,0.9038,0,1,remax,https://www.remax.com.py/es-py/propiedades/duplex/venta/luque/143005023-174,Central,Luque
114,"San Lorenzo, Central",,duplex,175,built,3,4,162865.62,960000000,PYG,0.466,0,1,0.9615,0,1308,1,150,0,0,930.66,723.5,0.8846,0,1,remax,https://www.remax.com.py/es-py/propiedades/duplex/venta/san-lorenzo/143005060-18,Central,San Lorenzo
115,"Ypacaraí, Central",,terreno,1088.25,land,,,33591.03,198000000,PYG,0.465,0.75,0.7185,0,0,198,0.7185,119.5,1,0.1818,30.87,92.66,0.0667,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/ypacarai/143061085-21,Central,Ypacaraí
116,"Fernando de la Mora, Central",,terreno,620.49,land,,,290000,290000,USD,0.465,0,0.9669,1,0,651,0.9669,119.5,0,0,467.37,92.66,0.9933,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/fernando-de-la-mora/143071054-444,Central,Fernando de la Mora
117,"Fernando de la Mora, Central",,terreno,614,land,,,214000,214000,USD,0.465,0,0.9669,1,0,648,0.9669,119.5,0,0,348.53,92.66,0.9533,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/fernando-de-la-mora/143071054-446,Central,Fernando de la Mora
118,"Lambaré, Central",,terreno,737,land,2,2,212064.61,1250000000,PYG,0.465,0,0.9669,1,0,694,0.9669,119.5,0,0,287.74,92.66,0.94,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/lambare/143098118-6,Central,Lambaré
119,"Lambaré, Central",,casa,400,built,4,5,360000,360000,USD,0.465,0,0.9844,0.9768,0,805,0.9844,141.5,0,0,900,542.23,0.8907,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/lambare/143010040-257,Central,Lambaré
120,"San Bernardino, Cordillera",,casa,217,built,5,4,260000,260000,USD,0.464,0,0.9643,1,0,892,0.9643,164,0,0,1198.16,732.45,0.9231,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/san-bernardino/143068063-133,Cordillera,San Bernardino
121,"San Bernardino, Cordillera",,casa,150,built,3,2,220000,220000,USD,0.464,0,0.9643,1,0,1073,0.9643,164,0,0,1466.67,732.45,1,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/san-bernardino/114001124-58,Cordillera,San Bernardino
122,"Emboscada, Cordillera",,casa,170,built,4,4,254477.53,1500000000,PYG,0.464,0,0.9643,1,0,1032,0.9643,164,0,0,1496.93,732.45,1,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/emboscada/114001124-181,Cordillera,
123,"Nueva Colombia, Cordillera",,casa,144,built,2,3,190000,190000,USD,0.464,0,0.9643,1,0,1093,0.9643,164,0,0,1319.44,732.45,0.9231,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/nueva-colombia/143068037-68,Cordillera,
124,"San Bernardino, Cordillera",,casa,130,built,2,2,175000,175000,USD,0.464,0,0.9643,1,0,924,0.9643,164,0,0,1346.15,732.45,0.9231,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/san-bernardino/143010155-24,Cordillera,San Bernardino
125,"Cambyretá, Itapúa",,casa,110,built,3,2,220000,220000,USD,0.464,0,0.9615,1,0,759,0.9615,178,0,0,2000,537.5,1,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/cambyreta/143085019-321,Itapúa,
126,"Encarnación, Itapúa",,casa,250,built,3,2,320000,320000,USD,0.464,0,0.9615,1,0,1176,0.9615,178,0,0,1280,537.5,0.9565,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/encarnacion/143011071-36,Itapúa,Encarnación
127,"San Juan del Paraná, Itapúa",,casa,220,built,4,3,300000,300000,USD,0.464,0,0.9615,1,0,1121,0.9615,178,0,0,1363.64,537.5,0.9565,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/san-juan-del-parana/143011004-209,Itapúa,San Juan del Paraná
128,"Hohenau, Itapúa",,casa,100,built,2,1,150000,150000,USD,0.464,0,0.9615,1,0,1340,0.9615,178,0,0,1500,537.5,1,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/hohenau/143011071-22,Itapúa,
129,"Encarnación, Itapúa",,casa,120,built,2,1,180000,180000,USD,0.464,0,0.9615,1,0,1176,0.9615,178,0,0,1500,537.5,1,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/encarnacion/143011071-37,Itapúa,Encarnación
130,"San Bernardino, Cordillera",,terreno,1148,land,,,143500,143500,USD,0.463,0,0.9608,1,0,667,0.9608,146,0,0,125,23.03,0.9565,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/san-bernardino/143054116-21,Cordillera,San Bernardino
131,"Altos, Cordillera",,terreno,600,land,,,39640,39640,USD,0.463,0,0.9608,1,0,751,0.9608,146,0,0,66.07,23.03,0.9565,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/altos/143071082-2,Cordillera,Altos
132,"San Bernardino, Cordillera",,terreno,378,land,,,57681.57,340000000,PYG,0.463,0,0.9608,1,0,652,0.9608,146,0,0,152.6,23.03,1,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/san-bernardino/143054045-71,Cordillera,San Bernardino
133,"Altos, Cordillera",,terreno,629,land,,,130000,130000,USD,0.463,0,0.9608,1,0,704,0.9608,146,0,0,206.68,23.03,1,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/altos/143054048-65,Cordillera,Altos
134,"Altos, Cordillera",,terreno,565,land,,,130000,130000,USD,0.463,0,0.9608,1,0,717,0.9608,146,0,0,230.09,23.03,1,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/altos/143063179-5,Cordillera,Altos
135,"Santa Rita, Alto Paraná",,terreno,615,land,,,162865.62,960000000,PYG,0.463,0,0.959,1,0,567,0.959,131.5,0,0,264.82,80.9,0.9268,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/santa-rita/143099013-32,Alto Paraná,
136,"Fernando de la Mora, Central",,terreno,728,land,,,225000,225000,USD,0.462,0,0.957,1,0,602,0.957,119.5,0,0,309.07,92.66,0.9467,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/fernando-de-la-mora/143038058-20,Central,Fernando de la Mora
137,"Fernando de la Mora, Central",,terreno,714,land,,,178000,178000,USD,0.462,0,0.957,1,0,591,0.957,119.5,0,0,249.3,92.66,0.9,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/fernando-de-la-mora/143098123-50,Central,Fernando de la Mora
138,Asunción,Los Laureles,casa,200,built,2,4,280000,280000,USD,0.462,0,0.9556,1,0,972,0.9556,189.5,0,0,1400,638.83,0.931,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/asuncion/143072073-5,Asunción,
139,"Encarnación, Itapúa",,terreno,648,land,,,156079.55,920000000,PYG,0.462,0,0.9552,1,0,1548,0.9552,281,0,0,240.86,80.44,0.9778,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/encarnacion/143011036-64,Itapúa,Encarnación
140,"Encarnación, Itapúa",,terreno,450,land,,,95000,95000,USD,0.462,0,0.9552,1,0,1509,0.9552,281,0,0,211.11,80.44,0.9778,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/encarnacion/143085019-183,Itapúa,Encarnación
141,"Encarnación, Itapúa",,terreno,815,land,1,1,271442.7,1600000000,PYG,0.462,0,0.9552,1,0,1417,0.9552,281,0,0,333.06,80.44,0.9778,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/encarnacion/143011043-125,Itapúa,Encarnación
142,"Encarnación, Itapúa",,terreno,420.61,land,,,80000,80000,USD,0.462,0,0.9552,1,0,1480,0.9552,281,0,0,190.2,80.44,0.9778,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/encarnacion/143011024-244,Itapúa,Encarnación
143,"Ñemby, Central",,casa,80,built,2,1,74646.74,440000000,PYG,0.461,0,0.9531,1,0,692,0.9531,141.5,0,0,933.08,542.23,0.9126,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/nemby/143026092-48,Central,Ñemby
144,"Luque, Central",,casa,100,built,2,2,117059.66,690000000,PYG,0.461,0,0.9531,1,0,671,0.9531,141.5,0,0,1170.6,542.23,0.9891,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/luque/143054045-84,Central,Luque
145,"Presidente Franco, Alto Paraná",,terreno,456,land,,,200000,200000,USD,0.461,0,0.9508,1,0,547,0.9508,131.5,0,0,438.6,80.9,1,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/presidente-franco/143050169-1,Alto Paraná,
146,"Ciudad del Este, Alto Paraná",,terreno,459,land,,,127238.77,750000000,PYG,0.461,0,0.9508,1,0,482,0.9508,131.5,0,0,277.21,80.9,0.9268,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/ciudad-del-este/143107020-9,Alto Paraná,Ciudad del Este
147,"Presidente Franco, Alto Paraná",,terreno,1094,land,,,280000,280000,USD,0.461,0,0.9508,1,0,497,0.9508,131.5,0,0,255.94,80.9,0.9268,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/presidente-franco/143050056-122,Alto Paraná,
148,Asunción,Las Lomas (Carmelitas),departamento,42,total,1,1,119000,119000,USD,0.461,0,0.95,1,0,477,0.95,62.5,0,0,2833.33,1671.33,0.9767,0,1,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143054045-82,Asunción,
149,"San Bernardino, Cordillera",,casa,107.62,built,3,2,165000,165000,USD,0.46,0.3971,0.3929,1,0,102,0.3929,164,1,0.0294,1533.17,732.45,1,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/san-bernardino/143061061-160,Cordillera,San Bernardino
150,"Luque, Central",,casa,84,built,2,2,72950.23,430000000,PYG,0.46,0,1,0.9358,0,1345,1,141.5,0,0,868.46,542.23,0.8743,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/luque/143063071-2,Central,Luque
151,"Luque, Central",,casa,78,built,2,1,67858.98,399990000,PYG,0.46,0,1,0.9358,0,1345,1,141.5,0,0,869.99,542.23,0.8743,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/luque/143063071-1,Central,Luque
152,"Cambyretá, Itapúa",,terreno,1242,land,,,212064.61,1250000000,PYG,0.46,0,0.9701,0.9722,0,2127,0.9701,281,0,0,170.74,80.44,0.8889,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/cambyreta/143011030-80,Itapúa,
153,"San Lorenzo, Central",,casa,140,built,3,4,165000,165000,USD,0.46,0,0.9479,1,0,616,0.9479,141.5,0,0,1178.57,542.23,0.9891,0,2,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/san-lorenzo/143063128-173,Central,San Lorenzo
154,"San Lorenzo, Central",,casa,140,built,3,4,185000,185000,USD,0.46,0,0.9479,1,0,616,0.9479,141.5,0,0,1321.43,542.23,1,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/san-lorenzo/143063128-172,Central,San Lorenzo
155,"San Lorenzo, Central",,terreno,427,land,,,144203.93,850000000,PYG,0.46,0,0.947,1,0,511,0.947,119.5,0,0,337.71,92.66,0.9533,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/san-lorenzo/143063076-77,Central,San Lorenzo
156,Asunción,Tembetary,casa,100,built,2,2,190000,190000,USD,0.459,0,0.9444,1,0,788,0.9444,189.5,0,0,1900,638.83,0.9885,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/asuncion/143005074-41,Asunción,
157,Asunción,Loma Pytá,casa,90,built,2,1,118756.18,700000000,PYG,0.459,0,0.9444,1,0,768,0.9444,189.5,0,0,1319.51,638.83,0.908,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/asuncion/143037112-56,Asunción,
158,"Villa Elisa, Central",,casa,142,built,4,2,178134.27,1050000000,PYG,0.459,0.4773,0.276,1,0,87,0.276,141.5,1,0.0455,1254.47,542.23,0.9945,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/villa-elisa/143080232-11,Central,Villa Elisa
159,"Luque, Central",,casa,255,built,3,3,220547.19,1300000000,PYG,0.459,0,0.9948,0.9358,0,1231,0.9948,141.5,0,0,864.89,542.23,0.8743,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/luque/143010040-194,Central,Luque
160,"Luque, Central",,casa,84,built,2,2,72950.23,430000000,PYG,0.459,0,0.9948,0.9358,0,934,0.9948,141.5,0,0,868.46,542.23,0.8743,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/luque/143005023-138,Central,Luque
161,"Luque, Central",,casa,78,built,2,1,67860.68,400000000,PYG,0.459,0,0.9948,0.9358,0,934,0.9948,141.5,0,0,870.01,542.23,0.8743,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/luque/143005023-137,Central,Luque
162,Asunción,San Jorge,departamento,80,built,1,1,176000,176000,USD,0.458,0,0.9711,0.9631,0,541,0.9711,62.5,0,0,2200,1388.89,0.8852,0,1,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143063204-22,Asunción,
163,"San Bernardino, Cordillera",,terreno,600,land,,,65000,65000,USD,0.458,0,0.9412,1,0,636,0.9412,146,0,0,108.33,23.03,0.9565,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/san-bernardino/143098126-401,Cordillera,San Bernardino
164,"Encarnación, Itapúa",,terreno,544,land,,,200000,200000,USD,0.458,0,0.9403,1,0,1145,0.9403,281,0,0,367.65,80.44,0.9778,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/encarnacion/143011079-7,Itapúa,Encarnación
165,"Encarnación, Itapúa",,terreno,433,land,,,140000,140000,USD,0.458,0,0.9403,1,0,1228,0.9403,281,0,0,323.33,80.44,0.9778,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/encarnacion/143085019-65,Itapúa,Encarnación
166,"Encarnación, Itapúa",,terreno,1678,land,,,320000,320000,USD,0.458,0,0.9403,1,0,1164,0.9403,281,0,0,190.7,80.44,0.9778,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/encarnacion/143011024-292,Itapúa,Encarnación
167,"Caacupé, Cordillera",,terreno,772,land,,,37323.37,220000000,PYG,0.458,0,1,0.9239,0,1344,1,146,0,0,48.35,23.03,0.8696,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/caacupe/143028058-1,Cordillera,Caacupé
168,"Fram, Itapúa",,casa,200,built,6,3,210000,210000,USD,0.458,0,1,0.9239,0,1935,1,178,0,0,1050,537.5,0.8696,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/fram/143011036-52,Itapúa,
169,Asunción,Las Lomas (Carmelitas),departamento,46,built,1,1,104000,104000,USD,0.457,0,0.9658,0.9631,0,529,0.9658,62.5,0,0,2260.87,1388.89,0.8852,0,1,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143098130-232,Asunción,
170,"Luque, Central",,casa,180,built,3,3,161169.1,950000000,PYG,0.456,0,0.9531,0.9768,0,695,0.9531,141.5,0,0,895.38,542.23,0.8907,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/luque/143063068-89,Central,Luque
171,Asunción,Santa Rosa,casa,150,built,6,5,254477.53,1500000000,PYG,0.456,0,0.9333,1,0,722,0.9333,189.5,0,0,1696.52,638.83,0.977,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/asuncion/143100014-4,Asunción,
172,Asunción,Mbocayaty,casa,100,built,3,2,161169.1,950000000,PYG,0.456,0,0.9333,1,0,718,0.9333,189.5,0,0,1611.69,638.83,0.977,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/asuncion/143036008-106,Asunción,
173,"Luque, Central",,casa,253,built,4,4,220000,220000,USD,0.456,0,0.9844,0.9358,0,808,0.9844,141.5,0,0,869.57,542.23,0.8743,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/luque/143010091-73,Central,Luque
174,"San Lorenzo, Central",,casa,115,built,3,2,111970.11,660000000,PYG,0.456,0,0.9323,1,0,575,0.9323,141.5,0,0,973.65,542.23,0.9235,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/san-lorenzo/143063146-133,Central,San Lorenzo
175,"Villa Elisa, Central",,casa,71,built,2,2,64976.6,383000000,PYG,0.456,0,0.9323,1,0,581,0.9323,141.5,0,0,915.16,542.23,0.9071,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/villa-elisa/143071054-467,Central,Villa Elisa
176,"Villa Elisa, Central",,casa,66,built,2,2,67012.42,395000000,PYG,0.456,0,0.9323,1,0,582,0.9323,141.5,0,0,1015.34,542.23,0.9344,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/villa-elisa/143071054-465,Central,Villa Elisa
177,"San Lorenzo, Central",,casa,150,built,3,4,185000,185000,USD,0.456,0,0.9323,1,0,573,0.9323,141.5,0,0,1233.33,542.23,0.9891,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/san-lorenzo/143098009-628,Central,San Lorenzo
178,Asunción,Las Lomas (Carmelitas),departamento,66,total,2,2,152000,152000,USD,0.456,0,0.9868,0.9302,0,780,0.9868,62.5,0,0,2303.03,1671.33,0.8721,0,1,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143010038-312,Asunción,
179,"Lambaré, Central",,terreno,736,land,,,186616.86,1100000000,PYG,0.455,0,0.9305,1,0,455,0.9305,119.5,0,0,253.56,92.66,0.9,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/lambare/143063080-131,Central,Lambaré
180,"Fernando de la Mora, Central",,terreno,400,land,,,101791.01,600000000,PYG,0.455,0,0.9305,1,0,456,0.9305,119.5,0,0,254.48,92.66,0.9,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/fernando-de-la-mora/143025084-116,Central,Fernando de la Mora
181,"Fernando de la Mora, Central",,terreno,599,land,1,1,144203.93,850000000,PYG,0.455,0,0.957,0.9667,0,605,0.957,119.5,0,0,240.74,92.66,0.8867,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/fernando-de-la-mora/143026205-8,Central,Fernando de la Mora
182,"Lambaré, Central",,terreno,1055,land,,,250000,250000,USD,0.455,0,0.957,0.9667,0,599,0.957,119.5,0,0,236.97,92.66,0.8867,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/lambare/143071067-69,Central,Lambaré
183,"Lambaré, Central",,terreno,709,land,3,2,152686.52,900000000,PYG,0.455,0,0.9834,0.9333,0,744,0.9834,119.5,0,0,215.35,92.66,0.8733,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/lambare/143063146-116,Central,Lambaré
184,Asunción,Las Lomas (Carmelitas),departamento,45,built,1,1,95000,95000,USD,0.455,0,0.9921,0.9221,0,902,0.9921,62.5,0,0,2111.11,1388.89,0.8689,0,1,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143010038-295,Asunción,
185,Asunción,Villa Morra,departamento,51.42,total,1,1,130000,130000,USD,0.455,0,0.9289,1,0,410,0.9289,62.5,0,0,2528.2,1671.33,0.9535,0,1,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143038046-163,Asunción,
186,"Altos, Cordillera",,casa,245,built,5,5,330000,330000,USD,0.455,0,0.9286,1,0,627,0.9286,164,0,0,1346.94,732.45,0.9231,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/altos/143025155-158,Cordillera,Altos
187,Asunción,Mariscal Estigarribia,departamento,72,built,3,2,151527,151527,USD,0.455,0,0.9895,0.9221,0,825,0.9895,62.5,0,0,2104.54,1388.89,0.8689,0,1,remax,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143098017-33,Asunción,
188,"Cambyretá, Itapúa",,terreno,741,land,,,160000,160000,USD,0.454,0,0.9254,1,0,1073,0.9254,281,0,0,215.92,80.44,0.9778,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/cambyreta/143011030-170,Itapúa,
189,"Encarnación, Itapúa",,casa,220,built,4,2,264000,264000,USD,0.453,0,0.9231,1,0,680,0.9231,178,0,0,1200,537.5,0.913,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/encarnacion/143085019-361,Itapúa,Encarnación
190,"Luque, Central",,casa,240,built,4,4,242000,242000,USD,0.453,0,0.9219,1,0,567,0.9219,141.5,0,0,1008.33,542.23,0.9344,0,3,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/luque/143048016-211,Central,Luque
191,"San Bernardino, Cordillera",,terreno,522,land,,,59378.09,350000000,PYG,0.453,0,0.9216,1,0,630,0.9216,146,0,0,113.75,23.03,0.9565,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/san-bernardino/143063159-61,Cordillera,San Bernardino
192,"Fernando de la Mora, Central",,casa,270,built,4,4,229029.78,1350000000,PYG,0.453,0,0.9948,0.9085,0,1008,0.9948,141.5,0,0,848.26,542.23,0.8634,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/fernando-de-la-mora/143063068-80,Central,Fernando de la Mora
193,"Ñemby, Central",,casa,80,built,3,1,67860.68,400000000,PYG,0.453,0,0.9948,0.9085,0,1072,0.9948,141.5,0,0,848.26,542.23,0.8634,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/nemby/143061046-44,Central,Ñemby
194,Asunción,Itá Enramada,casa,170,built,3,3,169482.04,999000000,PYG,0.453,0.4005,0.6889,0.5891,0,303,0.6889,189.5,1,0.0301,996.95,638.83,0.7356,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/asuncion/143098038-37,Asunción,
195,"Piribebuy, Cordillera",,terreno,666,land,,,37323.37,220000000,PYG,0.453,0,0.9804,0.9239,0,902,0.9804,146,0,0,56.04,23.03,0.8696,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/piribebuy/143063112-22,Cordillera,
196,"Piribebuy, Cordillera",,terreno,1226,land,,,65315.9,385000000,PYG,0.453,0,0.9804,0.9239,0,902,0.9804,146,0,0,53.28,23.03,0.8696,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/piribebuy/143063112-23,Cordillera,
197,"Piribebuy, Cordillera",,terreno,560,land,,,30537.3,180000000,PYG,0.453,0,0.9804,0.9239,0,903,0.9804,146,0,0,54.53,23.03,0.8696,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/piribebuy/143063112-21,Cordillera,
198,"San Bernardino, Cordillera",,terreno,1200,land,,,59378.09,350000000,PYG,0.453,0,0.9804,0.9239,0,921,0.9804,146,0,0,49.48,23.03,0.8696,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/san-bernardino/143075005-37,Cordillera,San Bernardino
199,"San Bernardino, Cordillera",,terreno,1080,land,,,56494.01,333000000,PYG,0.453,0,0.9804,0.9239,0,984,0.9804,146,0,0,52.31,23.03,0.8696,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/san-bernardino/143063116-45,Cordillera,San Bernardino
200,"San Bernardino, Cordillera",,terreno,768,land,,,42412.92,250000000,PYG,0.453,0,0.9804,0.9239,0,927,0.9804,146,0,0,55.23,23.03,0.8696,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/san-bernardino/143010159-114,Cordillera,San Bernardino
201,"San Juan del Paraná, Itapúa",,terreno,1000,land,,,155000,155000,USD,0.452,0,0.9403,0.9722,0,1199,0.9403,281,0,0,155,80.44,0.8889,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/san-juan-del-parana/143011043-155,Itapúa,San Juan del Paraná
202,"Encarnación, Itapúa",,terreno,418,land,,,65315.9,385000000,PYG,0.452,0,0.9403,0.9722,0,1369,0.9403,281,0,0,156.26,80.44,0.8889,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/encarnacion/143011043-133,Itapúa,Encarnación
203,"Encarnación, Itapúa",,terreno,366,land,,,64467.64,380000000,PYG,0.452,0,0.9403,0.9722,0,1348,0.9403,281,0,0,176.14,80.44,0.8889,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/encarnacion/143011003-373,Itapúa,Encarnación
204,"Presidente Franco, Alto Paraná",,terreno,360,land,,,100000,100000,USD,0.452,0,0.918,1,0,365,0.918,131.5,0,0,277.78,80.9,0.9268,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/presidente-franco/143050175-12,Alto Paraná,
205,"Presidente Franco, Alto Paraná",,terreno,415.19,land,,,100000,100000,USD,0.452,0,0.918,1,0,362,0.918,131.5,0,0,240.85,80.9,0.9024,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/presidente-franco/143050175-15,Alto Paraná,
206,"San Lorenzo, Central",,terreno,384,land,3,2,135721.35,800000000,PYG,0.452,0,0.9172,1,0,430,0.9172,119.5,0,0,353.44,92.66,0.9533,0,1,remax,https://www.remax.com.py/es-py/propiedades/terreno/venta/san-lorenzo/143063208-1,Central,San Lorenzo
207,"San Lorenzo, Central",,casa,156,built,6,6,108577.08,640000000,PYG,0.452,0.3269,0.8385,0.526,0,424,0.8385,141.5,1,0.0154,696.01,542.23,0.7104,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/san-lorenzo/143068120-33,Central,San Lorenzo
208,"San Lorenzo, Central",,casa,200,built,3,3,298586.97,1760000000,PYG,0.452,0,0.9167,1,0,535,0.9167,141.5,0,0,1492.93,542.23,1,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/san-lorenzo/143080002-333,Central,San Lorenzo
209,"Lambaré, Central",,casa,144,built,4,3,135721.35,800000000,PYG,0.452,0,0.9167,1,0,533,0.9167,141.5,0,0,942.51,542.23,0.9126,0,1,remax,https://www.remax.com.py/es-py/propiedades/casa/venta/lambare/143075155-1,Central,Lambaré
