transaction_id,close_date,operation,kind,place,barrio,department_market,city_market,area_m2,area_basis,bedrooms,terminal_ask,ask_currency,ask_usd_sale_date_fx,close_price,close_currency,close_usd_sale_date_fx,fx_sale_date,close_usd_per_m2,ask_to_close_pct,reported_equals_ask,reported_below_ask,deal_records,deal_record_kept,in_ask_to_close_base,held_out_because,source,mls_id
311068,2025-08-01,rent,local,"Ciudad del Este, Alto Paraná",,Alto Paraná,Ciudad del Este,60,built,,2000000,PYG,269.95,2000000,PYG,269.95,7408.74,4,0,1,0,1,1,1,,remax,143099023-9
312290,2025-08-01,sale,departamento,Asunción,Villa Morra,Asunción,,32,land,1,57778,USD,57778,418042250,PYG,56425.55,7408.74,1743,-2.341,0,0,1,1,0,cross-currency,remax,143063128-175
312681,2025-08-05,sale,departamento,Asunción,Recoleta,Asunción,,39,built,1,64300,USD,64300,455951300,PYG,61998.26,7354.26,1590,-3.58,0,0,1,1,0,cross-currency,remax,143056050-42
308402,2025-08-06,rent,local,"San Lorenzo, Central",,Central,San Lorenzo,62,built,,700,USD,700,5110000,PYG,696.8,7333.51,11,-0.457,0,0,1,1,0,cross-currency,remax,143063031-279
313281,2025-08-06,sale,departamento,Asunción,Villa Morra,Asunción,,55,built,1,82000,USD,82000,588300000,PYG,80220.79,7333.51,1463,-2.17,0,0,1,1,0,cross-currency,remax,143063076-30
311480,2025-08-07,rent,duplex,"Luque, Central",,Central,Luque,165,land,3,4000000,PYG,548.01,3800000,PYG,520.61,7299.175,3,-5,0,1,1,1,1,,remax,143036040-160
311060,2025-08-08,rent,deposito,"Ciudad del Este, Alto Paraná",,Alto Paraná,Ciudad del Este,,,,1400,USD,1400,7300000,PYG,1005.15,7262.62,,-28.204,0,0,2,1,0,cross-currency,remax,143099002-10
311836,2025-08-08,rent,duplex,"Fernando de la Mora, Central",,Central,Fernando de la Mora,175,built,4,7500000,PYG,1032.69,7500000,PYG,1032.69,7262.62,6,0,1,0,1,1,1,,remax,143036136-4
313148,2025-08-08,rent,deposito,"Ciudad del Este, Alto Paraná",,Alto Paraná,Ciudad del Este,,,,1400,USD,1400,7300000,PYG,1005.15,7262.62,,-28.204,0,0,2,0,0,cross-currency,remax,143099002-11
313350,2025-08-08,sale,departamento,"Ciudad del Este, Alto Paraná",,Alto Paraná,Ciudad del Este,51,built,1,81900,USD,81900,597870000,PYG,82321.53,7262.62,1614,0.515,0,0,1,1,0,cross-currency,remax,143099023-20
3079,2025-08-13,sale,casa,"Lambaré, Central",,Central,Lambaré,520,built,4,280000,USD,280000,280000,USD,280000,7231.405,538,0,1,0,1,1,1,,remax,143063102-284
312087,2025-08-13,rent,departamento,"Luque, Central",,Central,Luque,54,land,2,2000000,PYG,276.57,2000000,PYG,276.57,7231.405,5,0,1,0,1,1,1,,remax,143063187-47
511,2025-08-14,rent,departamento,"Luque, Central",,Central,Luque,60,built,2,1800000,PYG,250.93,1800000,PYG,250.93,7173.31,4,0,1,0,1,1,1,,remax,143068037-93
311058,2025-08-14,rent,deposito,"Mariano Roque Alonso, Central",,Central,Mariano Roque Alonso,450,built,,7000000,PYG,975.84,7000000,PYG,975.84,7173.31,2,0,1,0,1,1,1,,remax,143036040-162
312807,2025-08-15,sale,casa,"San Lorenzo, Central",,Central,San Lorenzo,230,built,5,245000,USD,245000,1909252207,PYG,266160.56,7173.31,1159,8.637,0,0,1,1,0,cross-currency,remax,143063128-170
312455,2025-08-17,sale,departamento,Asunción,Herrera,Asunción,,30,land,1,49700,USD,49700,372750000,PYG,51963.46,7173.31,1732,4.554,0,0,1,1,0,cross-currency,remax,143056047-68
309588,2025-08-18,rent,terreno,Asunción,San Roque,Asunción,,,,,3500000,PYG,486.11,3000000,PYG,416.66,7200.04,,-14.287,0,1,1,1,1,,remax,143063130-82
308329,2025-08-20,sale,terreno,"Capiatá, Central",,Central,Capiatá,845,land,,250000000,PYG,33964.09,220000000,PYG,29888.4,7360.715,35,-12,0,1,1,1,1,,remax,143063189-21
311488,2025-08-20,sale,departamento,Asunción,Ycuá Satí,Asunción,,85,built,2,144900,USD,144900,1002840000,PYG,136242.2,7360.715,1603,-5.975,0,0,1,1,0,cross-currency,remax,143084037-49
308985,2025-08-21,rent,casa,"San Bernardino, Cordillera",,Cordillera,San Bernardino,120,built,2,15000000,PYG,2027.59,8250000,PYG,1115.18,7397.93,9,-45,0,1,1,1,1,,remax,143063193-106
308635,2025-08-22,rent,departamento,Asunción,Barrio Jara,Asunción,,200,land,3,12350000,PYG,1669.02,12350000,PYG,1669.02,7399.565,8,0,1,0,1,1,1,,remax,143063159-34
124,2025-08-25,sale,terreno,"Ciudad del Este, Alto Paraná",,Alto Paraná,Ciudad del Este,360,land,,160000000,PYG,21670.45,160000000,PYG,21670.45,7383.325,60,0,1,0,1,1,1,,remax,143099013-45
566,2025-08-25,sale,terreno,"Luque, Central",,Central,Luque,360,land,,110000000,PYG,14898.44,110000000,PYG,14898.44,7383.325,41,0,1,0,1,1,1,,remax,143061068-14
595,2025-08-25,sale,departamento,Asunción,Ycuá Satí,Asunción,,37,land,1,75950,USD,75950,562030000,PYG,76121.53,7383.325,2057,0.226,0,0,1,1,0,cross-currency,remax,143056031-623
814,2025-08-25,rent,local,"Ñemby, Central",,Central,Ñemby,52,built,,3900000,PYG,528.22,3500000,PYG,474.04,7383.325,9,-10.257,0,1,1,1,1,,remax,143084038-35
920,2025-08-25,rent,casa,Asunción,Los Laureles,Asunción,,531,built,3,2500,USD,2500,15000000,PYG,2031.61,7383.325,4,-18.736,0,0,1,1,0,cross-currency,remax,143063102-288
1759,2025-08-25,rent,casa,"Capiatá, Central",,Central,Capiatá,90,built,3,1500000,PYG,203.16,1300000,PYG,176.07,7383.325,2,-13.334,0,1,1,1,1,,remax,143080163-6
1879,2025-08-25,rent,local,"Fernando de la Mora, Central",,Central,Fernando de la Mora,,,,5500000,PYG,744.92,5000000,PYG,677.2,7383.325,,-9.091,0,1,1,1,1,,remax,143084038-24
1926,2025-08-25,sale,duplex,Asunción,Sajonia,Asunción,,180,land,3,500000000,PYG,67720.17,450000000,PYG,60948.15,7383.325,339,-10,0,1,1,1,1,,remax,143061068-30
2204,2025-08-25,sale,departamento,Asunción,Mburucuyá,Asunción,,46,land,1,64652,USD,64652,466200000,PYG,63142.28,7383.325,1373,-2.335,0,0,1,1,0,cross-currency,remax,143063187-40
