bank,item,kind,department,city,built_m2,land_m2,asking_base_gross_usd,asking_base_net_usd,price_check,first_seen,lat,lon
sudameris,888,terreno,Itapúa,Trinidad,,360,,,0,2026-09-08,-27.15778,-55.761
sudameris,30,terreno,Itapúa,Encarnación,,667,,,0,2026-09-08,-27.29859,-55.86769
sudameris,29,terreno,Itapúa,Encarnación,,616,,,0,2026-09-08,-27.2987,-55.86774
sudameris,25,casa,Canindeyú,La Paloma,,287,,,0,2026-09-08,-24.13631,-54.615
sudameris,9,terreno,Canindeyú,Katuete,,2799,,,0,2026-09-08,-24.25757,-54.75658
sudameris,889,terreno,Itapúa,Trinidad,,6414,,,0,2026-09-08,-27.10922,-55.67133
sudameris,28,terreno,Itapúa,Encarnación,,375,,,0,2026-09-08,-27.29917,-55.86763
bna,finca-2862,unknown,Itapúa,Capitán Miranda,,157000,,,0,2026-09-08,,
sudameris,867,rural,Canindeyú,Itanara,,3810000,,,0,2026-09-08,-23.7963,-55.4766
sudameris,20,departamento,Itapúa,Encarnación,176,,,,0,2026-09-08,-27.32269,-55.85292
sudameris,10,deposito,Itapúa,Pirapo,,22500,,,0,2026-09-08,-26.88872,-55.47206
sudameris,903,deposito,Itapúa,Pirapo,,132697,,,0,2026-09-08,-26.87988,-55.54076
sudameris,812,terreno,Canindeyú,Yasy Cañy,,6000,,,0,2026-09-08,-24.51875,-55.81497
sudameris,821,terreno,Alto Paraná,Hernandarias,,4631,,,0,2026-09-08,-25.31525,-54.56822
sudameris,823,departamento,Asunción,Asunción,127,,,,0,2026-09-08,-25.29598,-57.60899
bna,matricula-27064-U-A03,unknown,Asunción,Asunción,,665,,,0,2026-09-08,,
sudameris,65,rural,Alto Paraguay,Fuerte Olimpo,,83287792,,,0,2026-09-08,-21.26194,-58.07778
sudameris,908SP,deposito,Itapúa,San Pedro Del Parana,,40000,,,0,2026-09-08,-26.85102,-56.22869
sudameris,820,rural,Itapúa,San Rafael Del Parana,,2511623,,,0,2026-09-08,-26.30411,-55.49601
sudameris,11,deposito,Caazapá,Avai,,27452,,,0,2026-09-08,-26.05703,-55.56643
sudameris,2,terreno,Alto Paraná,Ciudad del Este,,596,,,0,2026-09-08,-25.50722,-54.617
bna,matricula-10254,unknown,Asunción,Asunción,,501,,,0,2026-09-08,,
sudameris,2.000,departamento,Asunción,Asunción,,,,,0,2026-09-08,-25.28019,-57.56174
bna,finca-17983,unknown,Itapúa,Encarnación,,359,,,0,2026-09-08,,
sudameris,809,terreno,Caazapá,Tavai,,20000,,,0,2026-09-08,-26.194,-55.50319
sudameris,59,casa,Asunción,Asunción,,101,,,0,2026-09-08,-25.28805,-57.63301
sudameris,831,terreno,Itapúa,Obligado,,14273,,,0,2026-09-08,-27.05647,-55.59385
sudameris,4,casa,Asunción,Asunción,,576,,,0,2026-09-08,-25.29051,-57.64201
sudameris,902,rural,Caazapá,Abai,,201587,,,0,2026-09-08,-26.08871,-55.61829
sudameris,858,deposito,Caazapá,Abai,,51905,,,0,2026-09-08,-25.87961,-55.63157
bna,finca-6038,unknown,Itapúa,Capitán Meza,,615,,,0,2026-09-08,,
sudameris,68,terreno,Alto Paraná,Ciudad del Este,,824,,,0,2026-09-08,-25.50797,-54.6805
bna,finca-9850/RUR-H01,unknown,Itapúa,Encarnación,,549,,,0,2026-09-08,,
sudameris,816,oficina,Caazapá,Abai,,19259,,,0,2026-09-08,-25.87844,-55.62289
sudameris,35,terreno,Asunción,Asunción,,863,,,0,2026-09-08,-25.31185,-57.55661
sudameris,897,terreno,Alto Paraná,Minga Guazú,,80140,,,0,2026-09-08,-25.52981,-54.84514
sudameris,38,casa,Asunción,Asunción,,999,,,0,2026-09-08,-25.29369,-57.57227
sudameris,5,deposito,Misiones,Misiones,,3091,,,0,2026-09-08,-26.67612,-57.1436
sudameris,845,casa,Asunción,Asunción,,581,,,0,2026-09-08,-25.28553,-57.62698
sudameris,44,oficina,Asunción,Asunción,,9905,,,0,2026-09-08,-25.25139,-57.55444
sudameris,851,terreno,Alto Paraná,Presidente Franco,,811,,,0,2026-09-08,-25.5605,-54.59836
sudameris,19,terreno,Alto Paraná,Presidente Franco,,7778,,,0,2026-09-08,-25.55101,-54.66345
sudameris,74,rural,Paraguarí,Paraguarí,,2940000,,,0,2026-09-08,-25.56886,-57.16327
sudameris,45,oficina,Asunción,Asunción,852,,,,0,2026-09-08,-25.28673,-57.62527
sudameris,47,casa,Asunción,Asunción,,664,,,0,2026-09-08,-25.30805,-57.63192
sudameris,73,departamento,Asunción,Asunción,260,,,,0,2026-09-08,-25.28474,-57.61391
bna,finca-3128,unknown,Caazapá,Caazapá,,897000,,,0,2026-09-08,,
sudameris,64,rural,Presidente Hayes,Benjamin Aceval,,115750000,,,0,2026-09-08,-23.94022,-58.26836
sudameris,822,departamento,Asunción,Asunción,127,,,,0,2026-09-08,-25.29598,-57.60899
sudameris,860,rural,San Pedro,Santa Rosa Del Aguaray,,57566591,,,0,2026-09-08,-23.84284,-56.34024
sudameris,861,rural,San Pedro,Santa Rosa Del Aguaray,,7470310,,,0,2026-09-08,-23.87011,-56.27078
sudameris,80,rural,San Pedro,Guayayvi,,10000000,,,0,2026-09-08,-24.40481,-56.17486
sudameris,834,oficina,Alto Paraná,San Alberto,,1385,,,0,2026-09-08,-24.94122,-54.94639
sudameris,838,deposito,Alto Paraná,Itakyry,,8811,,,0,2026-09-08,-24.97853,-55.15953
sudameris,815,oficina,Caaguazú,Coronel Oviedo,46,,,,0,2026-09-08,-25.44515,-56.44072
sudameris,848,rural,Caaguazú,San Joaquin,,246641,,,0,2026-09-08,-25.03608,-56.04484
sudameris,67/2,terreno,Alto Paraná,Hernandarias,,729,,,0,2026-09-08,-25.33681,-54.63652
