first_seen,place,area,kind,built_m2,bedrooms,asking,currency,asking_usd,asking_usd_m2,source,brokers,url,lat,lon,tekoha_estimate_usd,tekoha_estimate_low_usd,tekoha_estimate_high_usd,tekoha_estimate_confidence,tekoha_estimate_location
2026-09-25,Asunción,Mburucuyá,departamento,42,1,56000,USD,56000,1327,remax,1,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143063076-126,-25.267,-57.575,90752,60668,123668,63,exact
2026-09-22,Asunción,Recoleta,departamento,42,1,63000,USD,63000,1500,infocasas,1,https://www.infocasas.com.py/shanti-apart-hotel-premium-inversion-de-lujo-y-exclusividad-en-el-corazon-corporativo/194288980,,,,,,,
2026-09-23,Asunción,Sajonia,departamento,78,2,100000,USD,100000,1282,infocasas,1,https://www.infocasas.com.py/departamentoventasajonia-sajonia-asuncion/194296263,,,,,,,
2026-09-24,Asunción,Las Lomas,departamento,88,0,111000,USD,111000,1261,infocasas,1,https://www.infocasas.com.py/lujoso-departamento-en-pozo/194309822,-25.2782,-57.57007,149482,99929,203699,63,exact
2026-09-21,Asunción,Barrio Jara,departamento,108,2,900000000,PYG,152687,1414,remax,1,https://www.remax.com.py/es-py/propiedades/departamento/venta/asuncion/143112002-46,-25.27882,-57.60738,111507,74542,151950,63,exact
2026-09-25,Asunción,Mburucuyá,departamento,110,3,145000,USD,145000,1318,infocasas,1,https://www.infocasas.com.py/depto-de-2-dorm-area-de-servicio-con-vista-abierta-en-central-park-%E2%80%93-mburucuya-usd-145000-110-m%C2%B2-piso-10-1-cochera/194315802,,,,,,,
2026-09-25,Asunción,Mcal. Estigarribia,departamento,129,2,180000,USD,180000,1395,infocasas,1,https://www.infocasas.com.py/departamento-venta-mariscal-estigarribia-asuncion/194293777,,,,,,,
2026-09-19,Asunción,Las Lomas,departamento,142,3,235000,USD,235000,1655,infocasas,1,https://www.infocasas.com.py/duplex-en-venta-las-lomas/194273936,,,,,,,
2026-09-23,Asunción,Las Lomas,departamento,150,3,200000,USD,200000,1333,infocasas,1,https://www.infocasas.com.py/divino-super-luminoso-amplio-y-comodo-dpto-en-la-mejor-zona-de-asuncion-de-3-dormitorios/194291961,-25.27328,-57.5729,212312,141930,289317,63,exact
2026-09-19,Asunción,Las Mercedes,departamento,200,3,318950,USD,318950,1595,infocasas,1,https://www.infocasas.com.py/oportunidad-unica-200-m%C2%B2-3-dormitorios-ultimo-piso-gran-alto-%E2%80%93-las-mercedes/194274660,-25.29058,-57.61352,132507,88581,180567,63,exact
2026-09-25,Asunción,Recoleta,departamento,387,0,63000,USD,63000,163,infocasas,1,https://www.infocasas.com.py/en-venta-monoambiente-en-pozo-en-el-edificio-aurora-recoleta/194310564,,,,,,,
2026-09-24,Asunción,,duplex,180,3,820000000,PYG,139114,773,remax,1,https://www.remax.com.py/es-py/propiedades/duplex/venta/asuncion/143063101-188,,,,,,,
2026-09-21,"Areguá, Central",,casa,125,2,240000000,PYG,40716,326,infocasas,1,https://www.infocasas.com.py/vendo-casa-en-aregua-ideal-casa-de-verano-o-inversion-airbnb/194267827,,,,,,,
2026-09-24,"Areguá, Central",,casa,146,3,900000000,PYG,152687,1046,infocasas,1,https://www.infocasas.com.py/en-venta-exclusiva-casa-quinta-en-estanzuela/194309770,-25.34238,-57.36172,99372,59206,162851,42,exact
2026-09-22,"Capiatá, Central",,casa,100,4,580000000,PYG,98398,984,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/capiata/143080106-20,-25.35064,-57.4833,54179,32280,88789,42,exact
2026-09-22,"Capiatá, Central",,casa,138,2,500000000,PYG,84826,615,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/capiata/143020098-50,,,,,,,
2026-09-22,"Fernando de la Mora, Central",,casa,100,4,660000000,PYG,111970,1120,infocasas,2,https://www.infocasas.com.py/casa-en-venta-en-fernando-de-la-mora/194307008,-25.34124,-57.56016,79991,47659,131089,42,exact
2026-09-24,"Fernando de la Mora, Central",,casa,120,4,660000000,PYG,111970,933,infocasas,1,https://www.infocasas.com.py/ventacasafernandozona-sur/194309853,-25.33511,-57.56068,95191,56715,156000,42,exact
2026-09-22,"Fernando de la Mora, Central",,casa,200,2,780000000,PYG,132328,662,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/fernando-de-la-mora/143061002-214,-25.35574,-57.56317,149005,88777,244189,42,exact
2026-09-23,"Fernando de la Mora, Central",,casa,268,4,1550000000,PYG,262960,981,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/fernando-de-la-mora/143054126-82,-25.32892,-57.55609,174743,104112,286368,42,exact
2026-09-19,"Fernando de la Mora, Central",,casa,340,3,280000,USD,280000,824,infocasas,1,https://www.infocasas.com.py/vendo-casa-en-fdo-de-la-mora-%E2%80%93-zona-norte/194280395,,,,,,,
2026-09-22,"Fernando de la Mora, Central",,casa,528,4,350000,USD,350000,663,infocasas,1,https://www.infocasas.com.py/casa-en-venta-en-fernando-de-la-mora-%E2%80%93-a-tres-cuadras-de-mcal-lopez/194291900,-25.31021,-57.53462,239501,142695,392495,42,exact
2026-09-22,"Itá, Central",,casa,317,1,2700000000,PYG,458060,1445,infocasas,1,https://www.infocasas.com.py/casa-de-campoventa-ita-central/194278885,-25.49326,-57.3973,74364,44306,121868,42,exact
2026-09-25,"Itauguá, Central",,casa,60,2,270000000,PYG,45806,763,infocasas,1,https://www.infocasas.com.py/venta-casa-2-dorms-apta-para-credito-bancario-en-aldana-ca%C3%B1ada-itaugua/194295589,,,,,,,
2026-09-25,"Itauguá, Central",,casa,300,5,1850000000,PYG,313856,1046,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/itaugua/143009168-16,-25.38716,-57.34715,154257,91906,252796,42,exact
2026-09-20,"Lambaré, Central",,casa,98,2,890000000,PYG,150990,1541,infocasas,1,https://www.infocasas.com.py/venta-casa-con-piscina-en-lambare-479-m2-de-terreno-a-2-cuadras-de-av-arga%C3%B1a/194283601,-25.33183,-57.62261,87826,52327,143929,42,exact
2026-09-23,"Limpio, Central",,casa,99,3,220000000,PYG,37323,377,infocasas,1,https://www.infocasas.com.py/venta-de-terreno-limpio-costa-azul/194303982,-25.16781,-57.49778,39458,23509,64663,42,exact
2026-09-22,"Limpio, Central",,casa,243,5,850000000,PYG,144204,593,infocasas,1,https://www.infocasas.com.py/venta-de-casa-ewn-limpio-santa-lucia/194279613,-25.16837,-57.48264,69367,41329,113679,42,exact
2026-09-25,"Luque, Central",,casa,56,2,250000000,PYG,42413,757,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/luque/143108013-10,-25.239,-57.43446,47900,28539,78499,42,exact
2026-09-23,"Luque, Central",,casa,56,2,365000000,PYG,61923,1106,infocasas,1,https://www.infocasas.com.py/chalet-venta-luque-central-paraguay/194294214,,,,,,,
2026-09-21,"Luque, Central",,casa,58,2,340000000,PYG,57682,995,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/luque/143068100-20,,,,,,,
2026-09-19,"Luque, Central",,casa,75,2,406000000,PYG,68879,918,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/luque/143096059-44,-25.21511,-57.47266,66444,39588,108889,42,exact
2026-09-23,"Luque, Central",,casa,100,2,780000000,PYG,132328,1323,infocasas,1,https://www.infocasas.com.py/vendo-casa-en-zona-palacio-de-justicia-luque/194303784,-25.27123,-57.46336,88170,52532,144493,42,exact
2026-09-19,"Luque, Central",,casa,200,3,980000000,PYG,166259,831,infocasas,1,https://www.infocasas.com.py/en-venta-exclusiva-casa-quinta-estilo-rustico-en-mora-kue-luque/194271568,-25.23359,-57.46784,115172,68619,188744,42,exact
2026-09-19,"Luque, Central",,casa,300,3,550000000,PYG,93308,311,infocasas,1,https://www.infocasas.com.py/vendo-casa-en-barrio-itapuami-luque-/194273606,,,,,,,
2026-09-24,"Luque, Central",,casa,470,3,400000000,PYG,67861,144,remax,1,https://www.remax.com.py/es-py/propiedades/casa/venta/luque/143098067-41,-25.28827,-57.45748,103094,61424,168951,42,exact
